phylum	class	order	family	genus
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto
"Proteobacteria"	Epsilonproteobacteria	Campylobacterales	"Hydrogenimonaceae"	Hydrogenimonas
"Proteobacteria"	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Litorimonas
"Chloroflexi"	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter
"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagibaca
"Proteobacteria"	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Aidingimonas
"Proteobacteria"	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfurivibrio
"Chlorobi"	"Chlorobia"	Chlorobiales	Chlorobiaceae	Chloroherpeton
"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Sediminibacter
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
"Crenarchaeota"	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfurisphaera
"Proteobacteria"	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis		Simiduia
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 4	Geosporobacter
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lactonifactor
"Euryarchaeota"	"Methanomicrobia"	Methanosarcinales	Methermicoccaceae	Methermicoccus
"Actinobacteria"	Actinobacteria	Actinomycetales	Propionibacteriaceae	Luteococcus
"Actinobacteria"	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Thermocrispum
"Proteobacteria"	Gammaproteobacteria	Chromatiales	Chromatiaceae	Lamprocystis
"Acidobacteria"	Holophagae	Holophagales	Holophagaceae	Geothrix
"Proteobacteria"	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium
"Proteobacteria"	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinimicrobium
"Proteobacteria"	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Paucibacter
"Actinobacteria"	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter
"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	Rikenella
"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"		Sunxiuqinia
"Planctomycetes"	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula
"Proteobacteria"	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Selenihalanaerobacter
"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Gilvibacter
"Proteobacteria"	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oceanobacter
"Proteobacteria"	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Malonomonas
"Proteobacteria"	Deltaproteobacteria	Myxococcales	Myxococcaceae	Pyxidicoccus
"Euryarchaeota"	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
"Actinobacteria"	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Sarcina
"Verrucomicrobia"	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter
"Proteobacteria"	Betaproteobacteria	Neisseriales	Neisseriaceae	Gulbenkiania
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
"Proteobacteria"	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter
"Euryarchaeota"	Thermoplasmata	Thermoplasmatales	Thermoplasmatales_incertae_sedis	Thermogymnomonas
"Acidobacteria"	Acidobacteria_Gp1			Telmatobacter
"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Flavivirga
"Chloroflexi"	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena
"Proteobacteria"	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus
"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Perlucidibaca
"Synergistetes"	Synergistia	Synergistales	Synergistaceae	Aminomonas
"Euryarchaeota"	"Methanomicrobia"	Methanomicrobiales	Methanoregulaceae	Methanoregula
Firmicutes	Clostridia	Clostridiales	Incertae Sedis IV	Caldicoprobacter
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Tissierella
"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Moheibacter
"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Fibrella
"Proteobacteria"	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Piscinibacter
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Syntrophococcus
"Proteobacteria"	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hylemonella
"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Tistlia
"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Turicella
"Proteobacteria"	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Aliidiomarina
Hydrogenedentes				Candidatus Hydrogenedens
"Proteobacteria"	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfoglaeba
"Bacteroidetes"	Sphingobacteriia	"Sphingobacteriales"	Chitinophagaceae	Parasegetibacter
"Actinobacteria"	Actinobacteria	Actinomycetales	Micrococcaceae	Enteractinococcus
"Euryarchaeota"	Halobacteria	Halobacteriales	Halobacteriaceae	Halapricum
"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pontibaca
"Planctomycetes"	Planctomycetia	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Brocadia
"Proteobacteria"	Deltaproteobacteria	Myxococcales	Kofleriaceae	Kofleria
"Actinobacteria"	Actinobacteria	Actinomycetales	Bogoriellaceae	Bogoriella
"Actinobacteria"	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces
"Fusobacteria"	Fusobacteriia	"Fusobacteriales"	"Leptotrichiaceae"	Streptobacillus
"Proteobacteria"	Gammaproteobacteria	"Vibrionales"	Vibrionaceae	Vibrio
"Proteobacteria"	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatirhabdium
Firmicutes	Clostridia	Clostridiales	Peptococcaceae I	Desulfitispora
Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Heliophilum
"Actinobacteria"	Actinobacteria	Actinomycetales	Ruaniaceae	Haloactinobacterium
"Tenericutes"	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma
"Proteobacteria"	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Starkeya
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 3	Brassicibacter
"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	Alistipes
"Proteobacteria"	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania
"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseisalinus
"Aquificae"	Aquificae	Aquificales	Hydrogenothermaceae	Hydrogenothermus
"Synergistetes"	Synergistia	Synergistales	Synergistaceae	Jonquetella
"Proteobacteria"	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Silanimonas
"Proteobacteria"	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea
"Actinobacteria"	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Goodfellowiella
"Proteobacteria"	Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus
"Proteobacteria"	Gammaproteobacteria	"Vibrionales"	Vibrionaceae	Salinivibrio
"Actinobacteria"	Actinobacteria	Actinomycetales	Intrasporangiaceae	Ornithinibacter
"Proteobacteria"	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
"Euryarchaeota"	Halobacteria	Haloferacales	Haloferacaceae	Halopenitus
"Actinobacteria"	Actinobacteria	Actinomycetales	Thermomonosporaceae	Thermomonospora
"Euryarchaeota"	Halobacteria	Haloferacales	Haloferacaceae	Halobaculum
"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azorhizophilus
"Actinobacteria"	Actinobacteria	Actinomycetales	Intrasporangiaceae	Ornithinicoccus
"Crenarchaeota"	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Sulfophobococcus
Firmicutes	Bacilli	Bacillales	Bacillaceae 2	Natribacillus
"Proteobacteria"	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Panacagrimonas
"Proteobacteria"	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Hwanghaeicola
"Verrucomicrobia"	Opitutae	Opitutales	Opitutaceae	Alterococcus
"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Leadbetterella
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Paralactobacillus
"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	Dysgonomonas
Firmicutes	Clostridia	Clostridiales	Peptococcaceae 1	Thermincola
"Proteobacteria"	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulforhabdus
