sample	Mollicutes	Bacilli	Flavobacteriia	Acidobacteria_Gp23	Acidobacteria_Gp22	Acidobacteria_Gp4	Acidobacteria_Gp2	Sphingobacteriia	Acidobacteria_Gp1	Acidobacteria_Gp6	Planctomycetia	Holophagae	Acidobacteria_Gp5	Deltaproteobacteria	Methanobacteria	Lentisphaeria	Thermoplasmata	Chloroplast	Chlamydiia	Phycisphaerae	Negativicutes	Synergistia	Fusobacteriia	Erysipelotrichia	Gammaproteobacteria	Thermoprotei	Deferribacteres	Clostridia	Bacteroidia	Epsilonproteobacteria	Cytophagia	Cyanobacteria	Betaproteobacteria	Actinobacteria	Alphaproteobacteria	Opitutae	Deinococci	Verrucomicrobiae
25A_2	0	17	3	0	0	0	0	0	0	0	0	0	0	123	0	0	0	7	0	0	2110	0	0	287	478	0	0	33274	32325	1	0	0	4922	234	0	0	0	0
25A_1	0	16	2	0	0	0	0	0	0	0	0	0	0	127	0	0	0	7	0	0	2190	0	0	346	480	0	0	33813	32324	1	0	0	4879	240	0	0	0	0
B094A_1	0	171	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	4	0	0	14331	0	593	1313	1890	0	0	32547	39510	1	0	0	3080	504	0	0	0	0
35A_2	0	19	0	0	0	0	0	0	0	0	0	0	3	72	1	3	0	0	0	0	907	0	80	189	6183	1	0	14951	34283	0	0	0	204	19	0	0	0	1
B094A_2	0	168	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	14158	0	592	1202	1821	0	0	32045	39166	1	0	0	3081	497	0	0	0	0
35A_1	0	16	0	0	0	0	0	0	0	0	0	0	0	76	1	4	0	0	0	0	961	0	80	202	6320	0	0	15111	34837	0	0	0	205	16	0	0	0	1
091A_1	0	41	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	672	0	120	448	114	0	0	43484	31997	0	0	0	610	46	0	0	0	105
29A_2	0	354	0	0	0	0	0	0	0	0	0	0	1	35	0	5	0	4	0	0	2176	3	6	363	2219	0	0	12632	44690	3	0	0	603	36	0	1	0	0
29A_1	0	332	0	0	0	0	0	0	0	0	0	0	0	40	0	5	2	4	0	0	2306	3	6	373	2244	0	0	12800	44735	3	0	0	594	37	0	1	0	0
28A_2	0	8	1	0	0	0	0	0	0	0	0	0	2	98	0	0	0	0	0	0	3386	0	0	533	65	0	0	17302	49892	0	0	0	944	34	0	0	0	0
28A_1	0	7	1	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	3148	0	0	560	65	0	0	17606	50867	0	0	0	958	32	0	0	0	1
091A_2	0	37	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	5	0	0	629	0	120	401	103	0	0	42918	31658	0	0	0	562	42	0	0	0	104
099A_1	0	96	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2665	11	15276	120	691	0	0	24918	26240	3	0	0	26	267	0	0	0	0
B084A_2	0	94	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2609	6	0	533	18550	0	0	59718	33943	0	0	0	1067	122	0	0	0	0
099A_2	0	87	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	2587	11	15231	117	672	0	0	24687	25981	3	0	0	27	268	0	0	0	0
B084A_1	0	90	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2657	6	0	634	18775	0	0	60233	34462	0	0	0	1068	127	6	0	0	0
B028A_2	0	49	0	0	0	0	0	0	0	0	0	0	1	99	0	0	0	0	0	0	2769	0	1	172	146	0	0	15801	51909	1	0	0	334	12	0	0	0	8
B006A_1	0	99	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	8019	0	0	307	430	0	0	58083	35108	2	0	0	4334	57	0	0	0	0
20A_2	1	385	4	0	0	0	0	0	0	0	0	0	2	1698	0	0	0	1	0	0	10474	0	64	228	1456	0	0	26925	51101	1	0	0	195	1353	6	0	0	1
20A_1	1	379	4	0	0	1	0	0	0	0	0	0	0	1740	0	0	0	2	0	0	10694	0	64	228	1502	0	0	27402	52062	1	0	0	191	1380	5	0	0	1
084A_1	0	17	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1743	10	35	292	8023	0	0	44920	28582	0	0	0	648	39	0	0	0	14
B003A_1	0	200	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	3538	0	126	377	2468	0	0	22622	94188	2	0	0	368	34	0	0	0	1
B003A_2	0	184	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3369	0	124	326	2270	0	0	21756	91264	2	0	0	348	33	1	0	0	1
B098A_1	0	25	2	0	0	0	0	0	0	0	0	0	0	143	0	23	0	1	0	0	4561	0	4	334	427	0	0	42328	57667	0	0	0	2506	106	0	0	0	2207
B098A_2	0	23	2	0	0	0	0	0	0	0	0	0	1	140	0	22	0	1	0	0	4511	0	4	289	416	0	0	41829	57162	0	0	0	2507	105	0	0	0	2196
B028A_1	0	49	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	2864	0	1	177	151	0	0	16086	53375	1	0	0	334	11	0	0	0	9
B010A_2	0	3317	21	0	0	0	0	3	0	0	0	0	2	16	0	0	0	3	0	0	1268	7	30	462	2930	0	0	83541	15808	18	1	0	1223	527	20	0	0	3
B010A_1	0	3399	21	0	0	0	0	3	0	0	0	0	0	20	0	0	0	3	0	0	1339	7	31	547	2966	0	0	84666	16295	18	1	0	1233	539	20	1	0	3
B119A_1	0	33	15	0	0	0	0	3	0	0	3	0	0	146	0	0	0	26	1	0	3484	14	25	138	42802	0	0	34673	35250	1	1	38	666	271	25	1	0	1
15A_2	0	228	0	0	0	0	0	0	0	0	0	0	0	133	0	1	0	5	0	0	3958	0	0	225	2396	0	0	63174	68914	2	0	0	2486	450	166	0	0	0
B119A_2	0	32	15	0	0	0	0	3	0	0	3	0	1	140	0	0	0	25	1	0	3391	13	27	126	42253	0	0	34410	34275	1	1	38	651	269	24	1	0	1
B116A_1	0	566	2	0	0	0	1	0	0	0	0	0	0	3165	0	0	0	30	0	0	14351	0	138	404	23436	0	0	33259	6270	3	3	0	23	2171	6	0	0	3
086A_1	0	82	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	603	0	6	494	1976	0	0	54502	37224	1	0	0	1176	53	0	0	0	11
086A_2	0	89	5	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	564	0	6	400	1925	0	0	53386	36618	2	0	0	1150	47	0	0	0	11
084A_2	0	18	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	1718	10	34	253	7879	0	0	44467	28057	0	0	0	656	40	0	0	0	13
15A_1	0	215	0	0	0	0	0	0	0	0	0	0	0	137	0	1	0	7	0	0	3844	0	0	263	2411	0	0	64241	66004	2	0	0	2457	461	139	0	0	0
B085A_1	0	31	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	1	0	0	4664	1	3	118	204	0	0	28789	52901	0	0	0	1561	42	0	0	0	2166
B085A_2	0	29	0	0	0	0	0	0	0	0	0	0	2	186	0	0	0	1	0	0	4499	1	2	111	196	0	0	28316	51950	0	0	0	1509	40	0	0	0	2158
1A_2	0	20680	0	0	0	0	0	0	0	0	0	0	3	295	0	0	0	1	0	0	5953	11	42	205	5241	0	0	47168	12015	1	0	0	196	1029	0	0	0	52
1A_1	0	20220	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	1	0	0	6022	11	44	223	5226	0	0	47461	12884	1	0	0	200	1021	0	0	0	51
B120A_1	0	103	6	0	0	0	0	0	0	0	0	0	0	360	0	0	0	4	0	0	4203	3	431	1133	604	0	2	29809	64282	12	8	0	3627	276	1323	0	0	377
100A_2	0	29	0	0	0	0	0	0	0	0	0	0	1	73	0	0	0	0	0	0	7244	1	1061	131	230	0	0	19038	31460	0	0	0	6156	150	0	0	0	13
B120A_2	1	103	6	0	0	0	0	0	0	0	0	0	1	356	0	0	0	4	0	0	4118	3	430	1020	602	0	2	29490	62689	12	8	0	3569	265	157	0	0	374
B011A_2	5	2076	9	0	0	0	0	4	0	0	0	0	1	19	0	0	0	21	0	0	35519	0	5	154	665	0	0	7741	60692	18	0	2	698	117	10	0	0	5
100A_1	0	27	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7379	1	1063	143	205	0	0	19420	31938	0	0	0	6101	148	0	0	0	18
B011A_1	5	2079	11	0	0	0	0	4	0	0	0	0	0	19	0	0	0	21	0	0	36099	0	5	179	689	0	0	7903	61679	19	0	2	728	114	10	0	0	6
11A_1	3	1963	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	8303	0	3	528	703	0	0	20212	42446	0	0	0	1980	91	1	0	0	0
11A_2	3	1961	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	7991	0	4	463	678	0	0	20022	41635	0	0	0	1975	94	1	0	0	0
B013A_1	0	94	5	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2	0	0	151	0	441	1105	776	0	0	47905	66611	54	0	0	712	125	14	0	3	0
37A_1	0	6749	0	0	0	0	0	0	0	0	0	0	0	56	114	0	0	1	0	0	2736	0	30	1010	6633	0	0	24406	29676	2	0	0	159	144	0	0	0	0
B013A_2	0	96	5	0	0	0	0	2	0	0	0	0	2	3	0	0	0	2	0	0	144	0	440	949	707	2	0	47275	65233	52	0	0	663	120	14	0	3	0
B015A_2	0	68	12	0	0	0	0	25	0	0	0	0	6	119	0	0	0	5	0	0	3309	0	5	353	1023	0	0	49826	54479	10	1	0	2099	200	116	0	0	1
B116A_2	0	556	2	0	0	0	1	0	0	0	0	0	1	3097	0	0	0	31	0	0	13835	0	136	393	23191	0	0	32590	6064	3	3	0	21	2156	5	0	0	3
B015A_1	0	72	12	0	0	0	0	30	0	0	0	0	0	123	0	0	0	5	0	0	3475	0	6	406	1057	0	0	50549	55027	10	1	0	2110	198	122	0	0	1
081A_1	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2624	20	1	441	556	0	0	48008	41028	2	0	0	1750	40	0	0	0	0
094A_2	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11054	0	8	224	272	0	0	3623	47480	0	0	0	4358	589	0	0	0	0
081A_2	0	63	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	2520	20	1	380	545	0	0	47634	40429	1	0	0	1749	39	0	0	0	0
094A_1	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10897	0	8	222	280	0	0	3715	47539	0	0	0	4340	599	0	0	0	0
37A_2	0	6737	0	0	0	0	0	0	0	0	0	0	1	51	114	0	0	1	0	0	2583	0	30	983	6561	0	0	24091	28934	2	0	0	161	140	0	0	0	0
B091A_1	0	8	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	769	0	2	825	1732	0	0	56745	52128	0	0	0	1264	80	1	0	0	1
093A_2	0	27	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	19022	0	2989	115	888	0	0	15265	27330	0	0	0	6329	26	2	0	0	9
093A_1	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19103	0	3004	119	900	0	0	15533	28170	0	0	0	6303	27	54	0	0	10
B091A_2	0	9	0	0	0	0	0	0	0	0	0	0	3	12	0	0	0	1	0	0	747	0	1	697	1659	0	0	56222	51725	0	0	0	1197	80	1	0	0	1
B099A_1	0	2119	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	16	0	0	5105	11	7085	184	3062	0	0	51153	38756	7	9	0	80	17328	6	0	0	3
B099A_2	0	2119	2	0	0	0	0	0	0	0	0	0	4	5	0	0	0	16	0	0	4944	11	7043	178	2959	0	0	50479	38282	7	8	0	86	16995	4	0	0	3
B093A_2	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	27181	0	7397	124	2248	0	0	17045	55611	0	0	0	3840	22	0	0	0	1
B093A_1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	27319	0	7416	133	2298	0	0	17287	57184	0	0	0	3834	22	0	0	0	1
