sample	Puniceicoccaceae	Micrococcaceae	Moraxellaceae	Paenibacillaceae 1	Actinomycetaceae	Methylocystaceae	Acidaminococcaceae	Cytophagaceae	SAR11	Sphingomonadaceae	Dermabacteraceae	Methanobacteriaceae	Enterobacteriaceae	Campylobacteraceae	Aeromonadaceae	Ruminococcaceae	Bacillaceae 1	Vibrionaceae	Rhodospirillaceae	Pasteurellaceae	Nannocystaceae	Rubritaleaceae	Cyclobacteriaceae	Rhizobiales_incertae_sedis	Pseudonocardiaceae	Bacteriovoracaceae	Bacteroidales_incertae_sedis	Porphyromonadaceae	Rhizobiaceae	Cryomorphaceae	Cohaesibacteraceae	Coxiellaceae	Corynebacteriaceae	Kordiimonadaceae	Coriobacteriaceae	Desulfuromonadaceae	Francisellaceae	Colwelliaceae	Verrucomicrobiaceae	Hahellaceae	Flavobacteriaceae	Bifidobacteriaceae	Victivallaceae	Rikenellaceae	Flammeovirgaceae	Methylobacteriaceae	Burkholderiales_incertae_sedis	Streptococcaceae	Leptotrichiaceae	Parachlamydiaceae	Oxalobacteraceae	Comamonadaceae	Deferribacteraceae	Fusobacteriaceae	Rhodothermaceae	Shewanellaceae	Rhodocyclaceae	Desulfovibrionaceae	Chitinophagaceae	Intrasporangiaceae	Nitrosopumilaceae	Family II	Kiloniellaceae	Planctomycetaceae	Neisseriaceae	Erythrobacteraceae	Peptococcaceae 1	Aerococcaceae	Thiotrichales_incertae_sedis	Acanthopleuribacteraceae	Leuconostocaceae	Clostridiaceae 1	Clostridiaceae 2	Promicromonosporaceae	Prevotellaceae	Bacteroidaceae	Dietziaceae	Erysipelotrichaceae	Helicobacteraceae	Burkholderiaceae	Desulfobacteraceae	Microbacteriaceae	Brevibacteriaceae	Moritellaceae	Pseudomonadaceae	Piscirickettsiaceae	Cardiobacteriaceae	Bdellovibrionaceae	Mycoplasmataceae	Carnobacteriaceae	Halomonadaceae	Planococcaceae	Clostridiales_Incertae Sedis XIII	Rhodobacteraceae	Enterococcaceae	Acidimicrobiaceae	Staphylococcaceae	Saprospiraceae	Alteromonadaceae	Veillonellaceae	Chloroplast	Phycisphaeraceae	Aurantimonadaceae	Succinivibrionaceae	Sphingobacteriaceae	Hyphomicrobiaceae	Lactobacillaceae	Lachnospiraceae	Bradyrhizobiaceae	Clostridiales_Incertae Sedis XI	Alcaligenaceae	Thermaceae	Alcanivoracaceae	Synergistaceae	Caulobacteraceae	Incertae Sedis XI	Pseudoalteromonadaceae	Desulfobulbaceae	Brucellaceae	Sutterellaceae	Hyphomonadaceae	Eubacteriaceae	Peptostreptococcaceae	Oceanospirillaceae	Xanthomonadaceae	Bacillales_Incertae Sedis XI
25A_2	0	0	0	0	3	0	2065	0	0	0	0	0	409	1	0	7274	0	0	0	28	0	0	0	0	0	0	0	494	0	0	0	0	1	0	9	0	0	0	0	0	3	214	0	159	0	0	0	5	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	1	0	0	0	395	0	0	33	29213	0	287	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	1	0	0	7	7	0	0	0	0	0	0	22450	0	4	1	0	0	0	0	0	0	0	0	4701	0	2	140	0	1	1
25A_1	0	0	0	0	4	0	2161	0	0	0	0	0	419	1	0	7439	0	0	0	28	0	0	0	0	0	0	0	579	0	0	0	0	1	0	9	0	0	0	0	0	2	221	0	167	0	0	0	5	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	1	0	0	0	409	0	0	42	29672	0	346	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	8	7	0	0	0	0	0	0	23475	0	4	1	0	0	0	0	0	0	0	0	4674	0	2	129	0	1	3
B094A_1	0	0	1	0	8	0	3554	0	0	0	0	0	1673	1	0	821	0	0	0	154	0	0	0	0	0	0	0	2595	0	0	0	0	0	0	15	0	0	0	0	0	0	474	0	5	0	0	0	113	0	0	0	0	0	593	0	2	0	16	0	0	0	0	0	0	5	0	0	2	0	0	0	174	0	0	57	35499	0	1313	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0	4	0	0	0	0	10409	4	0	0	0	0	0	5	29607	0	0	0	0	0	0	0	0	0	0	0	3016	0	6	19	0	0	5
35A_2	0	0	1	0	1	0	652	0	0	0	0	1	5968	0	1	4878	0	0	0	40	0	0	0	0	0	0	0	245	0	0	0	0	1	0	12	0	0	0	1	0	0	2	3	81	0	0	0	4	0	0	0	1	0	80	0	2	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	31736	1302	0	189	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	8	0	0	0	0	163	0	0	0	0	0	0	0	8670	0	0	0	0	0	0	0	0	0	0	0	195	0	0	32	0	3	1
B094A_2	0	0	1	0	8	0	3509	0	0	0	0	0	1565	1	0	754	0	0	0	153	0	0	0	0	0	0	0	2526	0	0	0	0	0	0	15	0	0	0	0	0	0	457	0	2	0	0	0	125	0	0	0	0	0	592	0	2	0	9	0	0	0	0	0	0	5	0	0	2	0	0	0	163	0	0	66	35135	0	1202	0	0	0	0	0	0	0	0	0	0	0	1	4	0	3	0	3	0	0	0	0	10230	4	0	0	0	0	0	2	28291	0	0	0	0	0	0	0	0	0	0	0	3050	0	5	17	0	0	5
35A_1	0	0	1	0	1	0	730	0	0	0	0	1	6176	0	1	4940	0	0	0	40	0	0	0	0	0	0	0	247	0	0	0	0	2	0	11	0	0	0	1	0	0	2	4	84	0	0	0	4	0	0	0	1	0	80	0	3	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	32803	1313	0	202	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	6	0	0	0	0	168	0	0	0	0	0	0	0	9098	0	0	0	0	0	0	0	0	0	0	0	191	0	0	31	0	3	1
091A_1	0	0	0	0	5	0	17	0	0	0	0	0	99	0	0	9247	0	0	0	4	0	0	0	0	0	0	0	38	0	0	0	0	0	0	7	0	0	0	105	0	0	32	0	222	0	0	0	4	0	0	10	0	0	120	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	102	30760	0	448	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	653	5	0	0	0	0	0	18	29220	0	6	0	0	0	0	0	0	0	0	0	6	0	0	10	0	0	0
29A_2	1	0	0	0	3	0	78	0	0	0	0	0	1757	3	1	7255	0	0	0	84	0	0	0	0	0	0	0	189	0	0	0	0	0	0	26	0	0	0	0	0	0	6	5	77	0	0	0	243	0	0	2	9	0	6	0	1	0	25	0	0	0	0	0	0	3	0	0	0	0	0	13	15	0	0	42683	515	0	363	0	0	0	0	0	0	0	0	1	0	0	4	4	0	4	0	13	0	0	0	0	2086	4	0	0	202	0	0	9	3855	0	1	0	0	0	3	0	0	0	0	0	499	0	2	24	0	0	2
29A_1	1	1	0	0	3	0	79	0	0	0	0	0	1838	3	1	7359	0	0	0	84	0	0	0	0	0	0	0	193	0	0	0	0	0	0	27	0	0	0	0	0	0	6	5	84	0	0	0	185	0	0	3	8	0	6	0	1	0	30	0	0	0	0	0	0	3	0	0	0	0	0	13	15	0	0	42699	540	0	373	0	0	0	0	0	0	0	0	1	0	0	6	4	0	4	0	12	0	0	0	0	2217	4	0	0	201	0	0	9	3994	0	1	0	0	0	3	0	0	0	0	0	465	0	2	22	0	0	2
28A_2	0	0	0	0	1	0	3090	0	0	0	0	0	33	0	0	6952	0	0	0	28	0	0	0	0	0	0	0	175	0	0	0	0	0	0	16	0	0	0	0	0	1	15	0	160	0	0	0	7	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	46796	712	0	533	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	42	0	0	0	0	0	0	0	6565	0	2	0	0	0	0	0	0	0	0	0	458	0	0	63	0	0	0
