sample	Pediococcus	Oribacterium	Erysipelotrichaceae_incertae_sedis	Clostridium sensu stricto	Haliscomenobacter	Oleibacter	Halomonas	Salinimonas	Enterorhabdus	Oxalobacter	Ochrobactrum	Allobaculum	Arcanobacterium	Herbaspirillum	Parvimonas	Sphingomonas	Succinivibrio	Cryptobacterium	Oscillibacter	Providencia	Dialister	Thalassomonas	Bacteriovorax	Hallella	Parasutterella	Paracoccus	Plesiomonas	Eubacterium	Tepidimonas	Lactonifactor	Butyricicoccus	Arsenicicoccus	Meiothermus	Polaribacter	Allomonas	Variovorax	Subdoligranulum	Veillonella	Lactococcus	Paraprevotella	Akkermansia	Phascolarctobacterium	Sporobacter	Aggregatibacter	Gordonibacter	Leptotrichia	Candidatus Pelagibacter	Geobacillus	Collinsella	Shewanella	Mobiluncus	Rikenella	Blastopirellula	Alishewanella	Aliivibrio	Oceanobacter	Vagococcus	Roseburia	Methanobrevibacter	Sarcina	Buttiauxella	Prevotella	Luteolibacter	Faecalibacterium	Pseudoalteromonas	Gaetbulibacter	Aerococcus	Proteus	Altererythrobacter	Neptunomonas	Formosa	Cerasicoccus	Anaerofustis	Aestuariibacter	Ruminococcus	Ralstonia	Parascardovia	Flavonifractor	Enterococcus	Acetitomaculum	Marinomonas	Anaerostipes	Finegoldia	Kocuria	Oligella	Robinsoniella	Cellulosilyticum	Methylobacterium	Pseudoramibacter	Neisseria	Comamonas	Isobaculum	Dorea	Anaerococcus	Lewinella	Marvinbryantia	Tatumella	Blautia	Vampirovibrio	Alloprevotella	Desulfopila	Desulfovibrio	Parabacteroides	Rubritalea	Gardnerella	Endozoicomonas	Acidovorax	Mesoflavibacter	Bacteroides	Psychrobacter	Alcanivorax	Olsenella	Parachlamydia	Basfia	Fangia	Serratia	Oceanicola	Vibrio	Acinetobacter	Clavibacter	Marinimicrobia_genera_incertae_sedis	Ponticaulis	Mannheimia	Marinobacterium	Anaeroglobus	Methylophaga	Coprobacillus	Martelella	Pseudomonas	Umboniibacter	Clostridium XI	Pantoea	Alistipes	Limnobacter	Flammeovirga	Pyramidobacter	Haliea	Holdemania	Stenotrophomonas	Cryptomonadaceae	Thiohalomonas	Pseudobutyrivibrio	Acetivibrio	Dolosigranulum	Morganella	Massilia	Shimwellia	Granulicatella	Kordia	Corallibacter	Eggerthella	Owenweeksia	Roseovarius	Salmonella	Psychrosphaera	GpIIa	Clostridium XIX	Oceanospirillum	Helicobacter	Alloscardovia	Enterobacter	Pasteurella	Naxibacter	Paenibacillus	Johnsonella	Anaerosporobacter	Odoribacter	Cellulosimicrobium	Shuttleworthia	Clostridium IV	Paralactobacillus	Lachnoanaerobaculum	Mitsuokella	Fusobacterium	Papillibacter	Devosia	Acanthopleuribacter	Hydrotalea	Mesonia	Colwellia	Cronobacter	Mycoplasma	Streptococcus	Paraeggerthella	Novispirillum	Butyricimonas	Gallibacterium	Enterovibrio	Marivita	Eikenella	Aquimarina	Pedobacter	Corynebacterium	Novosphingobium	Litoreibacter	Cloacibacterium	Anaerotruncus	Bulleidia	Kosakonia	Pseudoflavonifractor	Mucispirillum	Tannerella	Loktanella	Chryseobacterium	Peptostreptococcus	Scardovia	Rhodospirillum	Methanosphaera	Allisonella	Thalassobius	Peptoniphilus	Kordiimonas	Clostridium XlVa	Clostridium XlVb	Bacillariophyta	Macrococcus	Streptophyta	Bergeriella	Lonsdalea	Sporacetigenium	Synergistes	Roseivirga	Thioprofundum	Actinobacillus	Alteromonas	Atopobium	Shimia	Nitrosopumilus	Kandleria	Brevibacterium	Solobacterium	Thauera	Maricurvus	Peptococcus	Rhodopseudomonas	Anaerosinus	Cedecea	Ureaplasma	Francisella	Winogradskyella	Citrobacter	Eggerthia	Moryella	Phocaeicola	Clostridium XVIII	Cohaesibacter	Psychroserpens	Aureispira	Acetanaerobacterium	Chlorophyta	Dietzia	SR1_genera_incertae_sedis	Phaeobacter	Gemella	Lucibacterium	Catenibacterium	Sutterella	Laribacter	Moritella	Centipeda	Aeromonas	Lactobacillus	Enhydrobacter	Salinibacter	Parasporobacterium	Anaerosphaera	Niabella	Nannocystis	Actinomyces	Lishizhenia	Castellaniella	Coprococcus	Fulvivirga	Bradyrhizobium	Saprospira	Ilumatobacter	Staphylococcus	Flavobacterium	Neptuniibacter	Succinatimonas	Sneathia	Photobacterium	Rothia	Planctomyces	Mogibacterium	Tenacibaculum	Leuconostoc	Kiloniella	Thermus	Ensifer	Ekhidna	Meridianimaribacter	Cardiobacterium	Lachnospiracea_incertae_sedis	Cloacibacillus	Gp23	Megamonas	Gp22	Barnesiella	Brachymonas	Escherichia/Shigella	Phycisphaera	Haemophilus	Trabulsiella	Anaerorhabdus	Ruminococcus2	Ruegeria	Amphritea	Bifidobacterium	Turicibacter	Brevundimonas	Hymenobacter	Xylanibacter	Cyclobacterium	Hydrogenoanaerobacterium	Lutibacter	Howardella	Anaerofilum	Hespellia	Bilophila	Bacillus	Bizionia	Saccharibacteria_genera_incertae_sedis	Arcobacter	Lachnospira	Cetobacterium	Slackia	Acidaminococcus	Diplorickettsia	Clostridium III	Weissella	Gp5	Chelonobacter	Gp6	Campylobacter	Abiotrophia	Porphyromonas	Gp2	Gemmiger	Victivallis	Rhodopirellula	Crocinitomix	Lachnobacterium	Rhizobium	Anoxybacillus	Megasphaera	Selenomonas
25A_2	0	0	35	206	0	0	1	0	0	0	0	0	0	0	4	0	0	0	148	0	0	0	0	0	4699	0	0	2	0	0	20	0	0	0	0	0	0	3	0	2	0	1973	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3889	0	3	0	11	0	5733	0	0	0	0	0	0	0	0	0	0	3	0	0	141	0	0	0	119	0	0	1	0	0	0	0	0	0	0	227	0	0	0	0	706	0	2	0	0	456	0	0	0	0	0	29211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	55	0	159	0	0	0	0	14	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	26	0	0	0	0	2	0	0	0	0	0	0	0	590	141	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	265	0	4	0	2	3151	0	0	162	7	0	0	0	0	0	0	0	0	0	119	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
25A_1	0	2	40	270	0	0	1	0	0	0	0	0	0	0	4	0	0	0	151	0	0	0	0	0	4668	0	0	2	0	0	32	0	0	0	0	0	5	5	0	2	0	2137	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4355	0	0	0	23	0	5852	0	0	0	0	0	0	0	0	0	0	5	0	0	155	0	0	0	128	0	0	1	0	0	0	0	0	0	0	263	0	0	0	0	809	0	3	0	0	557	0	0	0	0	0	29672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	73	0	167	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	30	0	0	0	0	3	0	0	0	0	0	0	0	616	147	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	296	0	2	0	0	3578	0	0	177	8	0	0	0	0	0	0	0	0	1	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0
B094A_1	0	2	725	95	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	3012	0	0	4	0	2	32	0	0	0	0	0	0	130	1	0	0	3521	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	48	0	0	0	47	0	99	0	0	0	0	0	0	0	0	2	0	14	0	0	171	3	0	0	299	0	0	0	0	0	0	0	5	0	0	154	0	0	0	0	1833	0	0	0	0	2566	0	0	0	0	0	35498	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	42	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	454	0	0	0	0	0	0	1	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	33	0	0	0	0	5	0	0	0	0	0	0	0	2355	493	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	447	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	4	0	0	0	0	0	0	8	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	685	0	0	9518	0	0	0	1366	0	15	0	1	32	0	0	443	1	0	0	0	0	0	0	15	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0
35A_2	0	0	75	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	1	8	0	0	0	0	0	46	0	0	0	0	0	1	15	0	1	1	7	1	0	1	0	0	0	10	2	0	0	0	0	0	0	0	3653	1	0	0	29836	0	3401	0	0	0	0	0	0	0	0	0	0	471	0	0	3	4	0	0	6	0	0	0	0	0	0	0	0	1	0	75	0	0	0	0	304	0	2	0	32	80	0	0	0	0	0	1302	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	0	81	0	0	0	0	2	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	9	0	0	0	427	0	0	0	0	0	15	0	0	2	0	0	0	36	0	0	0	0	0	0	41	0	4	0	0	12	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	146	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	51	187	0	0	0	1	0	0	0	0	0	0	0	1	0	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	121	0	97	0	1503	0	3	0	0	78	0	0	1	0	0	0	0	0	0	0	19	0	0	20	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	62	3	0	0	0	0	0	6	0
B094A_2	0	2	630	80	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	3049	0	0	3	0	5	10	0	0	0	0	0	0	112	1	0	0	3450	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	31	0	0	0	44	0	79	0	0	0	0	0	0	0	0	2	0	12	0	0	157	2	0	0	298	0	0	0	0	0	0	0	5	0	0	104	0	0	0	0	1551	0	0	0	0	2478	0	0	0	0	0	35120	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	29	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	34	0	0	0	415	0	0	0	0	0	0	1	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	30	0	0	0	0	5	0	0	0	0	0	0	0	2097	397	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	417	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	8	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	496	0	0	9638	0	1	0	1185	0	35	0	15	18	0	0	410	1	0	0	0	0	0	0	15	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
35A_1	0	0	80	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	1	8	0	0	0	0	0	49	0	0	0	0	0	1	17	0	1	1	5	0	0	1	0	0	0	10	3	0	0	0	0	0	0	0	3826	1	0	0	32362	0	3422	0	0	0	0	0	0	0	0	0	0	489	0	0	3	4	0	0	5	0	0	0	0	0	0	0	0	1	0	76	0	0	0	0	333	0	0	0	43	87	0	0	0	0	0	1313	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	25	0	84	0	0	0	0	2	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	12	0	0	4	0	0	0	374	0	0	0	0	0	15	0	0	1	0	0	0	37	0	0	0	0	0	0	27	0	4	0	0	12	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	152	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	68	183	0	0	0	1	0	0	0	0	0	0	0	1	0	0	684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	128	0	116	0	1515	0	0	0	0	86	0	0	2	0	0	0	0	0	0	0	19	0	1	22	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	201	4	0	0	0	0	0	9	0
091A_1	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	614	0	0	0	5	0	0	0	0	3	46	0	0	0	0	0	4	6	0	11	105	16	9	0	2	0	0	0	2	0	0	0	0	0	0	0	0	5948	0	0	0	71	0	3629	0	0	0	0	0	0	0	0	0	0	1336	0	0	17	0	0	0	98	0	0	0	2	0	0	0	0	0	0	164	2	0	0	0	878	0	0	0	0	16	0	0	0	0	0	30760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	221	0	0	0	0	2	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	53	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	456	100	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	5	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	214	0	0	3	0	13	0	61	0	0	0	0	225	0	0	28	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	429	0	0	0	0	0	0	6	0
29A_2	0	3	159	9	0	0	3	0	0	0	0	0	0	0	1	0	201	0	123	1	1441	0	0	74	30	0	0	2	0	0	25	0	0	0	0	0	1	113	14	203	0	67	3	0	0	0	0	0	17	1	0	0	0	0	0	0	0	1645	0	0	0	27210	0	5210	0	0	0	0	0	0	0	1	0	0	120	0	0	5	12	0	0	4	0	0	0	0	0	0	0	1	3	0	67	0	0	0	0	119	0	7354	0	0	122	0	0	0	0	0	515	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	14	0	77	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	4	18	0	0	13	0	1	0	5	0	0	0	0	0	0	0	0	223	0	0	35	0	0	0	2	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	72	0	0	0	52	58	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	86	462	0	0	0	0	7	0	0	0	0	0	0	3	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	44	1	0	130	0	2	0	195	0	7	0	0	135	0	0	4	5	0	0	3	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	13	1	0	0	3	0	0	0	37	5	0	0	0	0	0	1	1
29A_1	0	4	162	9	0	0	3	0	0	1	0	0	0	0	1	0	200	0	122	1	1566	0	0	43	31	0	0	2	0	0	25	0	0	0	0	0	0	124	14	211	0	71	1	0	0	0	0	0	20	1	0	0	0	0	0	0	0	1818	0	0	0	30535	0	5151	0	0	0	0	0	0	0	0	0	0	130	0	0	5	10	0	0	4	0	0	0	0	0	0	0	1	3	0	73	0	0	0	0	136	0	6661	0	2	130	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	20	0	83	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	121	0	0	0	0	3	16	0	0	7	0	3	0	6	0	0	0	0	0	0	0	0	161	0	0	38	0	0	0	2	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	74	0	0	0	35	52	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	146	432	0	0	1	1	6	0	0	0	0	0	0	3	0	0	409	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	41	1	0	134	0	3	0	206	0	2	0	0	155	0	0	6	5	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	1	0	0	0	12	0	0	0	3	0	0	0	157	5	0	0	0	0	0	1	1
28A_2	0	1	329	95	0	0	2	0	0	0	0	0	0	0	0	0	0	0	229	0	1	0	0	33	409	0	0	0	0	0	22	0	0	0	0	0	1	26	0	61	0	133	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	237	0	1	0	35819	0	3952	0	0	0	0	0	0	0	0	0	0	134	0	0	14	0	0	0	98	0	0	0	3	0	0	0	0	0	0	211	1	0	0	0	529	0	1832	0	3	74	0	0	0	0	0	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	160	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	25	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	1	0	123	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	191	0	0	2	0	12	0	16	0	4	0	0	226	0	0	14	1	0	0	5	0	0	0	24	0	0	93	0	0	0	0	1	0	0	11	0	0	0	2	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
