sample	Deferribacterales	Actinomycetales	Lactobacillales	Synergistales	Puniceicoccales	Campylobacterales	Vibrionales	Burkholderiales	Xanthomonadales	Rhodospirillales	Desulfuromonadales	Aeromonadales	Clostridiales	Neisseriales	Rhodobacterales	Coriobacteriales	Gammaproteobacteria_incertae_sedis	Caulobacterales	Phycisphaerales	Erysipelotrichales	Methanobacteriales	Kordiimonadales	Enterobacteriales	Chlamydiales	Bdellovibrionales	Kiloniellales	Rhodocyclales	Myxococcales	Victivallales	Thermales	Thermoplasmatales	Pasteurellales	Bacteroidales	Rhizobiales	Mycoplasmatales	Nitrosopumilales	Sphingobacteriales	Verrucomicrobiales	Desulfobacterales	Bacillales	Selenomonadales	Pseudomonadales	Desulfovibrionales	Oceanospirillales	Sphingomonadales	Cytophagales	Legionellales	Fusobacteriales	Bifidobacteriales	Flavobacteriales	Planctomycetales	Acanthopleuribacterales	Cardiobacteriales	Alteromonadales	Acidimicrobiales	Thiotrichales
25A_2	0	6	12	0	0	1	0	4825	1	0	0	0	33232	0	0	9	0	0	0	287	0	0	409	0	0	0	0	0	0	0	0	28	32325	0	0	0	0	0	0	2	2110	0	123	2	0	0	0	0	214	3	0	0	0	0	0	0
25A_1	0	7	13	0	0	1	0	4762	1	0	0	0	33777	0	0	9	0	0	0	346	0	0	419	0	0	0	0	0	0	0	0	28	32324	0	0	0	0	0	0	3	2190	0	125	2	0	0	0	0	221	2	0	0	0	0	0	0
B094A_1	0	10	162	0	0	1	0	3041	0	0	0	0	32535	5	0	15	0	0	0	1313	0	0	1673	0	0	0	0	0	0	0	0	154	39510	0	0	0	0	0	0	5	14331	1	16	4	0	0	0	593	474	0	0	0	0	2	0	0
35A_2	0	4	16	0	0	0	0	201	3	0	0	1	14939	0	0	12	0	0	0	189	1	0	5968	0	0	0	0	0	3	0	0	40	34283	0	0	0	0	1	0	1	907	1	72	5	0	0	0	80	2	0	0	0	0	2	0	0
B094A_2	0	10	158	0	0	1	0	3061	0	0	0	0	32021	5	0	15	0	0	0	1202	0	0	1565	0	0	0	0	0	0	0	0	153	39166	0	0	0	0	0	0	5	14158	1	9	4	0	0	0	592	457	0	0	0	0	2	0	0
35A_1	0	3	14	0	0	0	0	197	3	0	0	1	15103	0	0	11	0	0	0	202	1	0	6176	0	0	0	0	0	4	0	0	40	34837	0	0	0	0	1	0	1	961	1	76	5	0	0	0	80	2	0	0	0	0	3	0	0
091A_1	0	5	39	0	0	0	0	563	0	0	0	0	43459	0	0	7	0	0	0	448	0	0	99	0	0	0	0	0	0	0	0	4	31997	0	0	0	0	105	0	0	672	0	3	2	0	0	0	120	32	0	0	0	0	0	0	0
29A_2	0	4	344	3	1	3	0	565	0	0	0	206	12576	3	0	26	0	0	0	363	0	0	1757	0	0	0	0	0	5	0	0	84	44690	0	0	0	0	0	0	2	2176	0	34	4	0	0	0	6	6	0	0	0	1	1	0	0
29A_1	0	4	323	3	1	3	0	539	0	0	0	204	12737	3	0	27	0	0	0	373	0	0	1838	0	0	0	0	0	5	0	2	84	44735	0	0	0	0	0	0	3	2306	0	39	4	0	0	0	6	6	0	0	0	1	1	0	0
28A_2	0	2	8	0	0	0	0	808	0	0	0	0	17159	0	0	16	0	0	0	533	0	0	33	0	0	0	0	0	0	0	0	28	49892	0	0	0	0	0	0	0	3386	0	98	2	0	0	0	0	15	1	0	0	0	0	0	0
28A_1	0	2	7	0	0	0	0	684	0	0	0	0	17508	0	0	14	0	0	0	560	0	0	33	0	0	0	0	0	0	0	0	27	50867	0	0	0	0	1	0	0	3148	0	98	2	0	0	0	0	16	1	0	0	0	0	0	0
091A_2	0	5	34	0	0	0	0	490	0	0	0	0	42875	0	0	6	0	0	0	401	0	0	80	0	0	0	0	0	0	0	0	3	31658	0	0	0	0	104	0	0	629	0	2	2	0	0	0	120	30	0	0	0	0	0	0	0
099A_1	0	16	89	11	0	3	0	11	0	0	0	1	24916	5	0	9	0	0	0	120	0	0	549	0	0	0	0	0	0	0	0	117	26240	0	0	0	0	0	0	3	2665	0	4	2	0	0	0	15276	241	0	0	0	1	3	0	0
B084A_2	0	3	93	6	0	0	0	1058	0	0	0	2	59634	0	0	57	0	0	0	533	0	0	17851	0	0	0	0	0	0	0	0	11	33943	0	0	0	0	0	0	0	2609	0	3	12	0	0	0	0	62	0	0	0	0	2	0	0
099A_2	0	16	80	11	0	3	0	16	0	0	0	1	24682	5	0	10	0	0	0	117	0	0	515	0	0	0	0	0	0	0	0	119	25981	0	0	0	0	0	0	3	2587	0	3	1	0	0	0	15231	235	0	0	0	1	1	0	0
B084A_1	0	3	89	6	0	0	0	1051	0	0	0	2	60143	0	0	59	0	0	0	634	0	0	18236	0	0	0	0	0	0	0	0	12	34462	0	0	0	0	0	0	0	2657	0	3	14	0	0	0	0	65	0	0	0	0	3	0	0
B028A_2	0	1	47	0	0	1	0	301	0	0	0	0	15775	2	0	9	0	0	0	172	0	0	64	0	0	0	0	0	0	0	0	69	51909	0	0	0	0	8	0	2	2769	0	98	6	0	0	0	1	2	0	0	0	0	1	0	0
B006A_1	0	17	96	0	0	2	0	4290	0	0	0	6	58045	0	0	11	0	0	0	307	0	0	351	0	0	0	0	0	0	0	0	33	35108	0	0	0	0	0	0	0	8019	0	403	13	0	0	0	0	29	0	0	0	1	3	0	0
20A_2	0	21	359	0	0	1	6	188	0	1	0	0	26895	1	1	167	0	0	0	228	0	0	1248	0	0	0	0	0	0	0	0	26	51101	2	1	0	0	1	0	10	10474	2	1692	75	1	0	0	64	1126	4	0	0	0	29	0	1
20A_1	0	21	355	0	0	1	6	184	0	2	0	0	27392	1	1	171	0	0	0	228	0	0	1315	0	0	0	0	0	0	0	0	28	52062	1	1	0	0	1	0	10	10694	2	1738	79	1	0	0	64	1175	4	0	0	0	35	0	1
084A_1	0	5	15	10	0	0	0	624	0	0	0	0	44878	0	0	13	0	0	0	292	0	0	7717	0	0	0	0	0	0	0	0	1	28582	0	0	0	0	14	0	1	1743	3	4	3	0	0	0	35	21	0	0	0	0	1	0	0
B003A_1	0	3	198	0	0	2	0	361	0	0	0	2	22617	1	0	8	0	0	0	377	0	0	939	0	0	0	0	0	0	0	0	1466	94188	0	0	0	0	1	0	0	3538	0	3	7	0	0	0	126	23	0	0	0	0	2	0	0
B003A_2	0	2	177	0	0	2	0	334	0	0	0	1	21720	2	0	9	0	0	0	326	0	0	777	0	0	0	0	0	1	0	0	1349	91264	1	0	0	0	1	0	0	3369	0	1	7	0	0	0	124	22	0	0	0	0	1	0	0
B098A_1	0	0	24	0	0	0	0	2462	0	0	0	0	42182	0	0	13	0	0	0	334	0	0	382	0	0	0	0	0	23	0	0	23	57667	0	0	0	0	2207	0	1	4561	0	143	8	0	0	0	4	90	2	0	0	0	2	0	0
B098A_2	0	0	22	0	0	0	0	2481	0	0	0	0	41673	0	0	12	0	0	0	289	0	0	362	0	0	0	0	0	22	0	0	24	57162	0	0	0	0	2196	0	1	4511	0	140	8	0	0	0	4	89	2	0	0	0	2	0	0
B028A_1	0	1	46	0	0	1	0	275	0	0	0	0	16070	2	0	7	0	0	0	177	0	0	66	0	0	0	0	0	0	0	0	71	53375	0	0	0	0	9	0	3	2864	0	101	6	0	0	0	1	3	0	0	0	0	2	0	0
B010A_2	0	19	3244	7	0	17	2	1155	0	0	0	0	83263	3	15	66	0	0	0	462	0	0	474	0	4	3	4	1	0	0	0	2265	15808	0	0	0	3	3	0	10	1268	0	11	53	0	1	0	30	431	21	0	0	1	32	0	0
B010A_1	0	20	3337	7	1	18	2	1164	0	0	0	0	84492	3	15	70	0	0	0	547	0	0	510	0	4	3	4	1	0	0	0	2297	16295	0	0	0	3	3	0	10	1339	0	15	53	0	1	0	31	442	21	0	0	1	30	0	0
B119A_1	0	8	31	14	0	1	5	603	0	4	0	6	34664	0	16	1	3	0	0	138	0	0	41909	1	0	0	0	0	0	0	0	25	35250	2	0	7	3	1	0	1	3484	0	144	9	0	1	0	25	256	15	3	0	2	4	0	0
15A_2	0	9	220	0	0	2	0	2412	0	0	0	0	62919	0	0	51	0	0	0	225	0	0	1415	0	0	0	0	0	1	0	0	831	68914	0	0	0	0	0	0	2	3958	0	131	4	0	0	0	0	378	0	0	0	0	0	0	0
B119A_2	0	7	29	13	1	1	5	598	0	1	0	7	34388	0	16	11	3	0	0	126	0	0	40943	1	0	0	0	0	0	0	0	23	34275	2	0	7	3	1	0	1	3391	0	138	7	0	1	0	27	243	15	3	0	2	4	0	0
B116A_1	0	23	559	0	0	3	12	21	0	0	0	0	33215	0	3	55	1	0	0	404	0	0	22762	0	0	0	0	0	0	0	0	22	6270	0	0	0	0	3	0	1	14351	0	3162	23	0	3	0	138	2073	2	0	0	0	8	0	1
086A_1	0	9	77	0	0	1	0	1144	0	0	0	0	54440	0	0	7	0	0	0	494	0	0	1083	0	0	0	0	0	0	0	0	791	37224	0	0	0	0	11	0	4	603	0	2	0	0	0	0	6	35	4	0	0	0	0	0	0
086A_2	0	10	82	0	0	2	0	1121	0	0	0	0	53297	0	0	6	0	0	0	400	0	0	1013	0	0	0	0	0	0	0	0	771	36618	0	0	0	0	11	0	4	564	0	2	0	0	0	0	6	31	5	0	0	0	0	0	0
084A_2	0	5	16	10	0	0	0	647	0	0	0	0	44416	0	0	13	0	0	0	253	0	0	7529	0	0	0	0	0	0	0	0	1	28057	0	0	0	0	13	0	1	1718	3	4	2	0	0	0	34	22	0	0	0	0	1	0	0
15A_1	0	8	207	0	0	2	0	2376	0	0	0	0	64012	0	0	55	0	0	0	263	0	0	1471	0	0	0	0	0	1	0	0	818	66004	0	0	0	0	0	0	2	3844	0	137	4	0	0	0	0	391	0	0	0	0	0	0	0
B085A_1	0	2	31	1	0	0	0	1501	0	0	0	5	28751	0	0	6	0	0	0	118	0	0	181	0	0	0	0	0	0	0	0	6	52901	0	0	0	0	2166	0	0	4664	0	189	3	0	0	0	3	33	0	0	0	0	1	0	0
B085A_2	0	1	29	1	0	0	0	1400	0	0	0	4	28262	0	0	6	0	0	0	111	0	0	174	0	0	0	0	0	0	0	0	5	51950	0	0	0	0	2158	0	0	4499	0	186	3	0	0	0	2	33	0	0	0	0	1	0	0
1A_2	0	97	20289	11	0	1	0	194	0	0	0	581	47043	0	0	209	0	0	0	205	0	0	4111	0	0	0	0	0	0	0	0	364	12015	0	0	0	0	52	0	14	5953	0	294	6	0	0	0	42	700	0	0	0	0	1	0	0
1A_1	0	100	19694	11	0	1	0	191	0	0	0	579	47335	0	0	203	0	0	0	223	0	0	4096	0	0	0	0	0	0	0	0	356	12884	0	0	0	0	51	0	15	6022	0	305	6	0	0	0	44	699	0	0	0	0	1	0	0
B120A_1	2	2	99	3	0	12	1	3524	0	2	0	0	29767	0	1	101	0	0	0	1133	0	0	505	0	0	0	0	0	0	0	0	4	64282	0	0	0	0	377	0	3	4203	0	356	13	0	8	0	431	170	6	0	0	0	14	0	0
100A_2	0	1	26	1	0	0	0	6099	0	0	0	0	19015	0	0	22	0	0	0	131	0	0	188	0	0	0	0	0	0	0	0	0	31460	0	0	0	0	13	0	2	7244	2	73	4	0	0	0	1061	126	0	0	0	1	2	0	0
B120A_2	2	2	98	3	0	12	1	3411	0	0	0	0	29446	0	1	97	0	0	0	1020	0	0	488	0	0	0	0	0	0	0	0	4	62689	0	1	0	0	374	0	4	4118	0	350	13	0	8	0	430	165	6	0	0	0	13	0	0
B011A_2	0	23	2039	0	0	18	9	669	0	0	0	30	7727	5	10	43	0	0	0	154	0	0	228	0	1	0	0	0	0	0	0	239	60692	0	5	0	4	5	0	6	35519	0	18	65	0	0	0	5	50	9	0	0	0	38	0	0
100A_1	0	1	23	1	0	0	0	5932	0	0	0	0	19397	0	0	23	0	0	0	143	0	0	171	0	0	0	0	0	0	0	0	0	31938	0	0	0	0	18	0	3	7379	2	79	4	0	0	0	1063	124	0	0	0	1	2	0	0
B011A_1	0	23	2047	0	0	19	8	676	0	0	0	29	7897	6	10	38	0	0	0	179	0	0	247	0	1	0	0	0	0	0	0	241	61679	0	5	0	4	6	0	7	36099	0	18	66	0	0	0	5	52	11	0	0	0	41	0	0
11A_1	0	20	1903	0	0	0	0	1856	0	0	0	19	20206	0	1	44	0	0	0	528	0	0	650	0	0	0	0	0	0	0	0	15	42446	0	3	0	0	0	0	2	8303	0	161	5	0	0	0	3	27	0	0	0	0	1	0	0
11A_2	0	20	1917	0	0	0	0	1918	0	0	0	19	20007	0	1	47	0	0	0	463	0	0	611	0	0	0	0	0	0	0	0	18	41635	0	3	0	0	0	0	2	7991	0	155	5	0	0	0	4	24	0	0	0	0	1	0	0
B013A_1	0	12	90	0	0	54	0	594	0	1	0	9	47890	0	9	25	1	0	0	1105	0	0	602	0	3	0	0	0	0	3	0	26	66611	3	0	0	2	0	0	1	151	0	0	29	0	0	0	441	88	5	0	0	0	41	0	0
37A_1	0	23	6630	0	0	2	0	151	0	0	0	961	24337	0	0	81	0	0	0	1010	114	0	4959	0	0	0	0	0	0	0	0	405	29676	0	0	0	0	0	0	8	2736	2	56	5	0	0	0	30	36	0	0	0	1	0	0	0
B013A_2	0	12	91	0	0	52	0	536	0	2	0	7	47223	0	9	25	1	0	0	949	0	0	525	0	3	0	0	0	0	3	0	22	65233	3	0	0	2	0	0	1	144	0	0	29	0	0	0	440	77	5	0	0	0	38	0	0
B015A_2	0	9	68	0	0	10	1	2084	0	0	0	0	49576	0	32	40	0	1	0	353	0	0	800	0	2	0	0	0	0	0	0	83	54479	3	0	0	25	1	0	0	3309	1	117	19	0	1	0	5	148	12	0	0	0	31	0	0
B116A_2	0	23	547	0	0	3	12	19	0	0	0	0	32534	0	3	54	1	0	0	393	0	0	22374	0	0	0	0	0	0	0	0	20	6064	0	0	0	0	3	0	1	13835	0	3089	20	0	3	0	136	2037	2	0	0	0	7	0	1
B015A_1	0	9	71	0	0	10	1	2091	0	0	0	0	50372	0	31	37	0	1	0	406	0	0	847	0	2	0	0	0	0	0	0	86	55027	2	0	0	30	1	0	0	3475	1	121	19	0	1	0	6	149	12	0	0	0	31	0	0
081A_1	0	5	58	20	0	2	0	1711	0	0	0	4	47928	0	0	17	0	0	0	441	0	0	488	0	0	0	0	0	0	0	0	28	41028	0	0	0	0	0	0	4	2624	1	0	4	0	0	0	1	18	0	0	0	0	4	0	0
094A_2	0	3	34	0	0	0	0	4250	0	0	0	0	3612	0	0	2	0	0	0	224	0	0	224	0	0	0	0	0	0	0	0	29	47480	0	0	0	0	0	0	1	11054	0	0	3	0	0	0	8	566	0	0	0	0	0	0	0
081A_2	0	5	58	20	0	1	0	1735	0	0	0	2	47551	0	0	17	0	0	0	380	0	0	484	0	0	0	0	0	0	0	0	29	40429	0	0	0	0	0	0	4	2520	1	0	4	0	0	0	1	16	0	0	0	0	5	0	0
094A_1	0	3	36	0	0	0	0	4257	0	0	0	0	3702	0	0	2	0	0	0	222	0	0	233	0	0	0	0	0	0	0	0	30	47539	0	0	0	0	0	0	0	10897	0	0	3	0	0	0	8	589	0	0	0	0	0	0	0
37A_2	0	20	6615	0	0	2	0	157	0	0	0	956	24012	0	0	82	0	0	0	983	114	0	4852	0	0	0	0	0	0	0	0	400	28934	0	0	0	0	0	0	8	2583	2	51	5	0	0	0	30	35	0	0	0	1	0	0	0
B091A_1	0	1	8	0	0	0	0	1169	0	0	0	13	56724	0	0	12	0	0	0	825	0	0	1635	0	0	0	0	0	0	0	0	5	52128	1	0	0	0	1	0	0	769	2	11	8	0	0	0	2	66	0	0	0	0	3	0	0
