sample	Fusobacteria	Acidobacteria	Tenericutes	Chlamydiae	Firmicutes	Deferribacteres	Marinimicrobia	Proteobacteria	Planctomycetes	Thaumarchaeota	Crenarchaeota	Verrucomicrobia	Deinococcus-Thermus	Cyanobacteria/Chloroplast	Actinobacteria	Bacteroidetes	Euryarchaeota	Candidatus Saccharibacteria	Lentisphaerae	Synergistetes	SR1
25A_2	0	1	0	0	36910	0	0	5627	0	0	0	0	0	7	234	33539	0	0	0	0	0
25A_1	0	0	0	0	37254	0	0	5596	0	0	0	0	0	7	240	33434	0	0	0	0	0
B094A_1	593	0	0	0	50582	0	0	5047	0	0	0	0	0	4	504	39706	0	0	0	0	0
35A_2	80	9	0	0	16442	0	0	6548	0	0	1	1	0	0	19	34502	1	0	3	0	0
B094A_2	592	5	0	0	50283	0	0	4979	0	0	0	0	0	4	497	39438	0	0	0	0	0
35A_1	80	0	0	0	16573	0	0	6670	0	0	0	1	0	0	16	34872	1	0	4	0	0
091A_1	120	0	0	0	44995	0	0	799	0	0	0	105	0	5	47	32252	0	0	0	0	0
29A_2	6	3	0	0	16124	0	0	3110	0	0	0	1	0	4	36	45958	2	0	5	3	0
29A_1	6	0	0	0	16253	0	0	3120	0	0	0	1	0	4	38	45897	2	0	5	3	0
28A_2	0	2	0	0	22553	0	0	1137	0	0	0	0	0	0	34	52409	0	0	0	0	0
28A_1	0	0	0	0	22614	0	0	1149	0	0	0	1	0	0	36	52531	0	0	0	0	0
091A_2	120	6	0	0	44610	0	0	786	0	0	0	104	0	5	42	31994	0	0	0	0	0
099A_1	15276	0	0	0	28082	0	0	733	0	0	0	0	0	0	267	26350	0	4	0	11	0
B084A_2	0	3	0	0	66426	0	0	19820	0	0	0	0	0	0	122	34331	0	0	0	6	0
099A_2	15231	5	0	0	27945	0	0	719	0	0	0	0	0	0	268	26162	0	4	0	11	0
B084A_1	0	1	0	0	67354	0	0	20006	0	0	0	0	0	0	127	34720	0	0	0	6	0
B028A_2	1	4	0	0	19716	0	0	586	0	0	0	8	0	0	12	53151	0	0	0	0	0
B006A_1	0	0	0	0	68218	0	0	5560	0	0	0	0	0	0	57	35402	0	2	0	0	0
20A_2	64	4	1	0	39739	0	0	3427	0	0	0	1	0	1	1353	51622	0	0	0	0	0
20A_1	64	1	1	0	40051	0	0	3490	0	0	0	1	0	2	1380	52201	0	0	0	0	0
084A_1	35	0	0	0	48488	0	0	8768	0	0	0	14	0	0	39	28779	0	0	0	10	0
B003A_1	126	0	0	0	27053	0	0	2859	0	0	0	1	0	1	35	94360	0	1	0	0	0
B003A_2	124	5	0	0	26414	0	0	2682	0	0	0	1	0	0	33	92326	0	1	1	0	0
B098A_1	4	0	0	0	49575	0	0	3097	0	0	0	2207	0	1	106	58299	0	0	23	0	0
B098A_2	4	7	0	0	49226	0	0	3083	0	0	0	2197	0	1	105	57860	0	0	22	0	0
B028A_1	1	0	0	0	19969	0	0	596	0	0	0	9	0	0	12	53872	0	0	0	0	0
B010A_2	30	3	0	0	91469	0	0	4279	0	0	0	3	0	3	527	16089	0	1	0	7	0
B010A_1	31	0	0	0	92060	0	0	4327	0	0	0	4	0	3	539	16431	0	1	0	7	0
B119A_1	25	0	0	1	38787	0	1	44069	3	7	0	2	0	64	278	35487	15	0	0	14	0
15A_2	0	4	0	0	70831	0	0	5457	0	0	0	0	0	5	451	71891	0	0	1	0	0
B119A_2	27	4	0	1	38597	0	1	43555	3	7	0	2	0	63	269	35027	14	0	0	13	0
B116A_1	138	1	0	0	49915	0	0	26850	0	0	0	3	0	30	2171	6360	0	0	0	0	0
086A_1	6	0	0	0	56442	0	0	3228	0	0	0	11	0	3	53	38314	0	1	0	0	0
086A_2	6	3	0	0	55697	0	0	3166	0	0	0	11	0	3	47	38089	0	1	0	0	0
084A_2	34	4	0	0	48042	0	0	8648	0	0	0	13	0	0	40	28390	0	0	0	10	0
15A_1	0	0	0	0	71593	0	0	5410	0	0	0	0	0	7	461	71330	0	0	1	0	0
B085A_1	3	0	0	0	34028	0	0	2177	0	0	0	2167	0	1	42	53026	0	1	0	1	0
B085A_2	2	7	0	0	33629	0	0	2127	0	0	0	2159	0	1	40	52504	0	1	0	1	0
1A_2	42	9	0	0	78580	0	0	5793	0	0	0	52	0	1	1029	14150	0	0	0	11	0
