sample	k__Archaea;p__Euryarchaeota	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Synergistetes	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__[Thermi]
086A	0.0	1.4424719067791592	4.396923188109918	0.623656490851261	4.51947536158116	0.869693918001083	0.0	0.0	3.2393994491825078	0.0	0.0	0.3155463219579323	0.9281837536265559	0.0
116A	0.0	2.3397276374849496	4.44927407595677	0.4026552931098544	4.461695017984285	2.7187786241497816	0.0	0.0	3.292200899897014	0.682887357519412	0.0	0.0	0.0	0.0
099A	0.0	2.3621978999011395	4.386619810073578	0.0	4.332919628570271	4.1193694321230625	0.0	0.0	2.7088879863962156	0.8154062109150704	0.7347945408751315	0.3237641766949712	0.0	0.0
120A	0.0	1.8897011519129931	4.459029515912429	0.0	4.440443200442523	2.982697547511389	0.0	0.0	3.3820521852577894	0.28641077445164126	0.0	0.0	0.28641077445164126	0.0
15A	0.0	2.3012964059684053	4.437608343502116	0.6696748630462825	4.475707110930199	0.0	0.23924195312386215	0.0	3.341002885707774	0.0	0.0	2.025601324897085	0.0	0.0
25A	0.0	2.350097233114438	4.43752232582892	0.9712565491866372	4.444079007923988	0.0	0.0	0.0	3.6410623263535946	0.0	0.0	0.0	0.0	0.0
7A	0.0	1.6716662760009064	4.153790243100028	0.0	4.651640918571948	0.0	0.0	0.0	2.8201989542535992	0.0	0.3677248578857984	0.0	0.0	0.0
21A	1.376028584171324	2.342409866927026	4.463508221804856	0.36910631245602066	4.454573697223495	0.47843875112701306	0.7005505210845643	0.0	3.1839122704044334	0.8032958889537869	0.0	2.6599818152090924	0.22263972698198117	0.0
1A	0.0	2.8419675923676357	3.9735057184789833	0.2957982093655453	4.662115553354597	1.3516635259880054	0.0	0.0	3.517749567188674	0.8360902962766776	0.2957982093655453	2.610674406543437	1.4949554833283025	0.0
081A	0.0	1.461892853186451	4.423190928926287	0.7650553343344341	4.502909159683361	0.2932199277453731	0.0	0.0	3.151565091809432	1.0994132621830517	0.0	0.0	0.0	0.0
3A	0.0	2.392327596402451	4.475719555246446	0.21398545792675683	4.468360996060876	0.35669943406835436	0.0	0.0	2.3126015184064057	0.0	0.0	1.5862377162751735	0.0	0.0
6A	0.0	1.3040749685816388	4.4247609945998345	0.0	4.4713768408361725	0.2395951234899756	0.0	0.0	3.55347444370655	0.0	0.0	0.0	0.0	0.0
18A	0.0	2.0249164406857325	4.447125271571841	0.6921135518530821	4.461793766101819	2.3876465636689392	0.0	0.4714150878470589	3.3728920798551236	0.29675741460283256	0.0	0.0	2.0883917784317063	0.29675741460283256
082A	0.0	1.494352960572727	4.407209631700745	0.31002826465178096	4.51196791310365	0.0	0.0	0.0	3.224898584835387	0.0	0.0	0.0	1.608430729694866	0.0
37A	2.096693634567731	2.0804368934708943	4.429345767670143	0.33194765958739364	4.441650342188915	1.4725998253636023	0.0	0.0	3.6950495098559344	0.0	0.0	1.6604413487401306	0.0	0.0
28A	0.0	1.5484445515497185	4.621227345899365	0.0	4.229700853240978	0.0	0.0	0.0	2.9210372990679025	0.0	0.0	2.182299777368489	0.0	0.0
108A	0.0	1.4789862611114173	4.288078866220365	0.0	4.352208295242702	1.6048842386992836	0.0	0.0	4.250361879846982	1.1740979730072751	0.0	0.0	0.35535245005260235	0.0
