Taxon	k__Archaea;p__Euryarchaeota	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Synergistetes	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__[Thermi]
086A	0.0	25.0	23353.0	3.0	30967.0	6.0	0.0	0.0	1624.0	0.0	0.0	1.0	7.0	0.0
116A	0.0	285.0	36844.0	2.0	37913.0	684.0	0.0	0.0	2565.0	5.0	0.0	0.0	0.0	0.0
099A	0.0	207.0	21992.0	0.0	19434.0	11885.0	0.0	0.0	461.0	5.0	4.0	1.0	0.0	0.0
120A	0.0	82.0	30815.0	0.0	29524.0	1028.0	0.0	0.0	2580.0	1.0	0.0	0.0	1.0	0.0
15A	0.0	271.0	37277.0	5.0	40695.0	0.0	1.0	0.0	2983.0	0.0	0.0	143.0	0.0	0.0
25A	0.0	160.0	19655.0	6.0	19954.0	0.0	0.0	0.0	3140.0	0.0	0.0	0.0	0.0	0.0
7A	0.0	69.0	21394.0	0.0	67323.0	0.0	0.0	0.0	991.0	0.0	2.0	0.0	0.0	0.0
21A	34.0	327.0	43412.0	2.0	42528.0	3.0	6.0	0.0	2279.0	8.0	0.0	681.0	1.0	0.0
1A	0.0	711.0	9638.0	1.0	47058.0	22.0	0.0	0.0	3374.0	6.0	1.0	417.0	31.0	0.0
081A	0.0	29.0	27475.0	5.0	33011.0	1.0	0.0	0.0	1469.0	12.0	0.0	0.0	0.0	0.0
3A	0.0	386.0	46960.0	1.0	46171.0	2.0	0.0	0.0	321.0	0.0	0.0	59.0	0.0	0.0
6A	0.0	26.0	36121.0	0.0	40214.0	1.0	0.0	0.0	4857.0	0.0	0.0	0.0	0.0	0.0
18A	0.0	107.0	28556.0	4.0	29537.0	248.0	0.0	2.0	2406.0	1.0	0.0	0.0	124.0	1.0
082A	0.0	29.0	24512.0	1.0	31199.0	0.0	0.0	0.0	1610.0	0.0	0.0	0.0	38.0	0.0
37A	108.0	104.0	23418.0	1.0	24091.0	25.0	0.0	0.0	4317.0	0.0	0.0	39.0	0.0	0.0
28A	0.0	25.0	30421.0	0.0	12349.0	0.0	0.0	0.0	606.0	0.0	0.0	110.0	0.0	0.0
108A	0.0	23.0	15327.0	0.0	17766.0	31.0	0.0	0.0	14052.0	11.0	0.0	0.0	1.0	0.0
20A	0.0	966.0	34485.0	1.0	24428.0	35.0	0.0	0.0	2229.0	0.0	0.0	4.0	0.0	0.0
39A	0.0	92.0	19555.0	1.0	27152.0	8.0	0.0	0.0	2411.0	4.0	0.0	0.0	11.0	0.0
118A	0.0	9.0	27417.0	0.0	29152.0	0.0	0.0	0.0	236.0	0.0	1.0	0.0	0.0	0.0
24A	0.0	95.0	14770.0	1077.0	32178.0	4.0	0.0	0.0	432.0	2.0	0.0	306.0	3779.0	0.0
119A	0.0	450.0	14788.0	0.0	22040.0	6.0	0.0	0.0	17969.0	1.0	0.0	0.0	0.0	0.0
34A	0.0	7397.0	27915.0	5.0	69426.0	0.0	0.0	0.0	731.0	0.0	0.0	6.0	0.0	0.0
091A	0.0	32.0	25658.0	5.0	30316.0	82.0	0.0	0.0	522.0	0.0	0.0	5.0	70.0	0.0
098A	0.0	112.0	39645.0	0.0	54595.0	0.0	16.0	0.0	3238.0	0.0	0.0	412.0	907.0	0.0
100A	0.0	105.0	23634.0	5.0	17512.0	799.0	0.0	0.0	4574.0	1.0	0.0	1.0	11.0	0.0
084A	0.0	24.0	17721.0	0.0	32517.0	24.0	0.0	0.0	5798.0	7.0	0.0	0.0	6.0	0.0
107A	0.0	11.0	15739.0	1.0	13207.0	0.0	0.0	0.0	21272.0	0.0	0.0	0.0	0.0	0.0
35A	1.0	10.0	27260.0	0.0	11482.0	56.0	3.0	0.0	4822.0	0.0	0.0	1.0	0.0	0.0
11A	0.0	70.0	29300.0	0.0	19898.0	3.0	0.0	0.0	1719.0	0.0	0.0	0.0	0.0	0.0
10A	0.0	1160.0	15442.0	1.0	35474.0	15.0	0.0	0.0	450.0	0.0	0.0	14.0	63.0	0.0
109A	0.0	208.0	22873.0	2.0	19581.0	873.0	0.0	0.0	2384.0	0.0	0.0	0.0	7.0	0.0
31A	9.0	15.0	23286.0	0.0	13847.0	0.0	0.0	0.0	443.0	6.0	0.0	41.0	1.0	0.0
29A	2.0	19.0	26464.0	19.0	9245.0	5.0	91.0	0.0	1624.0	2.0	0.0	19.0	0.0	0.0
101A	0.0	588.0	32068.0	90.0	22414.0	41.0	0.0	0.0	2487.0	0.0	0.0	0.0	0.0	0.0
083A	0.0	332.0	25284.0	1.0	16723.0	12.0	0.0	0.0	2421.0	1.0	0.0	0.0	0.0	0.0
13A	0.0	107.0	24624.0	0.0	22762.0	807.0	0.0	0.0	743.0	0.0	1.0	0.0	0.0	0.0
093A	0.0	23.0	20471.0	2.0	22461.0	2279.0	0.0	0.0	5497.0	0.0	1.0	0.0	7.0	0.0
094A	0.0	409.0	30280.0	0.0	8202.0	6.0	0.0	0.0	2804.0	0.0	0.0	0.0	0.0	0.0
085A	0.0	66.0	49946.0	0.0	20745.0	0.0	0.0	1.0	1504.0	13.0	0.0	0.0	1752.0	0.0
