sample	k__Archaea;p__Euryarchaeota;c__Methanobacteria	k__Archaea;p__Euryarchaeota;c__Thermoplasmata	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Cytophagia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Chloroplast	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	k__Bacteria;p__Planctomycetes;c__Phycisphaerae	k__Bacteria;p__Planctomycetes;c__Planctomycetia	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Synergistetes;c__Synergistia	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Tenericutes;c__RF3	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	k__Bacteria;p__[Thermi];c__Deinococci
086A	0.0	0.0	1.4253959316722078	0.3155463219579323	4.396904591511306	0.0	0.3155463219579323	0.0	0.0	0.623656490851261	1.9090127980329392	4.515516628424355	2.344399874619529	0.869693918001083	0.0	0.0	0.0	0.0	2.832659128817943	0.0	0.3155463219579323	3.023292059794094	0.0	0.0	0.3155463219579323	0.0	0.9281837536265559	0.0
116A	0.0	0.0	2.241415864948096	1.6560161877908803	4.44927407595677	0.0	0.0	0.0	0.0	0.4026552931098544	1.6486312433850685	4.457054092420715	2.4236085396242575	2.7187786241497816	0.0	0.0	0.0	0.0	0.5173195512291192	2.9545196668829523	0.24641132491174278	3.024125068718678	0.682887357519412	0.0	0.0	0.0	0.0	0.0
099A	0.0	0.0	2.353760757155917	0.7347945408751315	4.386619810073578	0.0	0.0	0.0	0.0	0.0	1.8217854482638343	4.329622264443766	1.9932534147135912	4.1193694321230625	0.0	0.0	0.0	0.0	1.2458148916228542	0.6357300191168055	0.6357300191168055	2.6886802549968087	0.8154062109150704	0.7347945408751315	0.3237641766949712	0.0	0.0	0.0
120A	0.0	0.0	1.5942340242701079	1.5942340242701079	4.459029515912429	0.0	0.0	0.0	0.0	0.0	1.3333167337609004	4.438024143020474	2.125803551678439	2.982697547511389	0.0	0.0	0.0	0.28641077445164126	3.258293649477834	2.4190681311478763	0.0	2.5266402720575094	0.28641077445164126	0.0	0.0	0.0	0.28641077445164126	0.0
15A	0.0	0.0	2.252402461434306	1.3484671729864668	4.437608343502116	0.0	0.0	0.0	0.0	0.6696748630462825	1.9879114744875985	4.472977296613055	1.9643138771302726	0.0	0.23924195312386215	0.0	0.0	2.1657916716474106	3.005514501114495	1.8455221929493764	0.3926161352097389	2.9845356400154404	0.0	0.0	2.025601324897085	0.0	0.0	0.0
25A	0.0	0.0	2.336371508249107	0.9012577504420977	4.437500230195702	0.0	0.0	0.37899060996802986	0.0	0.9712565491866372	1.3404234933701795	4.440121749393358	2.366015230867291	0.0	0.0	0.0	0.0	0.0	3.596696418857914	1.89775232911516	0.37899060996802986	2.539740180035411	0.0	0.0	0.0	0.0	0.0	0.0
7A	0.0	0.0	1.6123536484724095	0.844720094077686	4.153790243100028	0.0	0.0	0.0	0.0	0.0	3.3496133217124706	4.625114985899516	2.625215435902498	0.0	0.0	0.0	0.0	0.0	2.711367116809936	1.1352539142894327	0.0	2.129896067662418	0.0	0.3677248578857984	0.0	0.0	0.0	0.0
21A	1.376028584171324	0.0	2.0676619843537836	2.017594876938402	4.463508221804856	0.0	0.0	0.0	0.36910631245602066	0.0	1.4438603662115295	4.451622751449694	2.222942194284098	0.47843875112701306	0.7005505210845643	0.0	0.0	0.0	3.0886887991209404	2.1147879003152275	0.0	2.2366492457206855	0.8032958889537869	0.0	2.6599818152090924	0.0	0.22263972698198117	0.0
1A	0.0	0.0	2.7399999543101887	2.165634925927159	3.9735057184789833	0.0	0.0	0.0	0.0	0.2957982093655453	4.13541526374509	4.507486511027865	2.010763405601161	1.3516635259880054	0.0	0.0	0.0	0.0	1.9895791796004287	2.3012784711193555	0.2957982093655453	3.4767559190084127	0.8360902962766776	0.2957982093655453	2.610674406543437	0.0	1.4949554833283025	0.0
081A	0.0	0.0	1.2638344974805247	1.0647537541414651	4.423190928926287	0.0	0.0	0.0	0.0	0.7650553343344341	1.665812377440194	4.499289471680283	2.3422420849630154	0.2932199277453731	0.0	0.0	0.0	0.2932199277453731	3.043435461996527	0.0	0.2932199277453731	2.4934890553060565	1.0994132621830517	0.0	0.0	0.0	0.0	0.0
