sample	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	k__Bacteria;p__Firmicutes;c__Clostridia;o__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	k__Bacteria;p__TM7;c__TM7-3;o__	k__Bacteria;p__TM7;c__TM7-3;o__I025	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales
086A	0.0	0.0	0.8020823876907622	1.3282086838386364	0.3155463219579323	4.396904591511306	0.0	0.3155463219579323	0.0	0.0	0.0	0.623656490851261	0.0	0.623656490851261	1.744034497179812	1.3697274067660812	0.0	4.515516628424355	0.0	2.344399874619529	0.869693918001083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.832659128817943	0.0	0.0	0.0	0.3155463219579323	0.0	0.0	0.0	2.762511375658839	0.0	0.0	2.6788087711056114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3155463219579323	0.0	0.9281837536265559	0.0
116A	0.0	0.0	0.7467800085829727	2.229849904312007	1.6560161877908803	4.44927407595677	0.0	0.0	0.0	0.0	0.0	0.4026552931098544	0.0	0.0	1.6177677348266088	0.607946140784865	0.0	4.457054092420715	0.0	2.4236085396242575	2.7187786241497816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5173195512291192	0.0	0.0	2.9545196668829523	0.24641132491174278	0.0	0.7467800085829727	0.0	3.0200273541090454	0.0	0.7467800085829727	0.24641132491174278	0.0	0.0	0.0	0.682887357519412	0.0	0.0	0.0	0.0	0.0	0.0	0.0
099A	0.0	0.0	1.1199917891989206	2.329676117077528	0.7347945408751315	4.386619810073578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6357300191168055	1.7917719631333284	0.3237641766949712	0.0	4.329622264443766	0.0	1.9932534147135912	4.1193694321230625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.081881193722267	0.8154062109150704	0.0	0.6357300191168055	0.6357300191168055	0.0	0.5071765110567757	0.3237641766949712	2.5756921836144575	0.0	0.3237641766949712	2.035133021636896	0.0	0.0	0.0	0.8154062109150704	0.7347945408751315	0.0	0.0	0.3237641766949712	0.0	0.0	0.0
120A	0.0	0.0	0.5799423778000194	1.5621056345739746	1.5942340242701079	4.459029515912429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28641077445164126	1.2506233745064874	0.5799423778000194	0.0	4.438024143020474	0.0	2.125803551678439	2.982697547511389	0.0	0.0	0.0	0.0	0.28641077445164126	0.0	0.0	0.0	0.0	0.8197267694167297	3.2565000337672454	0.0	0.4575175177611928	2.4190681311478763	0.0	1.2272319646051344	0.28641077445164126	0.0	2.396878816560647	0.0	0.6753370504323561	1.8280121793562822	0.0	0.0	0.0	0.28641077445164126	0.0	0.0	0.0	0.0	0.0	0.28641077445164126	0.0
15A	0.0	0.0	0.3926161352097389	2.248818576232301	1.3484671729864668	4.437608343502116	0.0	0.0	0.0	0.0	0.0	0.6696748630462825	0.0	0.0	1.9677644843162367	0.7330865659658073	0.0	4.472977296613055	0.0	1.9643138771302726	0.0	0.23924195312386215	0.0	0.0	0.0	2.1657916716474106	0.0	0.0	0.0	0.0	0.0	3.005514501114495	0.0	0.0	1.8455221929493764	0.3926161352097389	0.0	0.0	0.0	2.7769684850230547	0.0	0.23924195312386215	2.5645661288687758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.025601324897085	0.0	0.0	0.0
25A	0.0	0.0	0.8177673350337856	2.3250697809871843	0.9012577504420977	4.437500230195702	0.0	0.0	0.37899060996802986	0.0	0.0	0.9712565491866372	0.37899060996802986	0.37899060996802986	1.1315986520946981	0.8177673350337856	0.37899060996802986	4.440099785619544	0.0	2.366015230867291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.596696418857914	0.0	0.0	1.89775232911516	0.37899060996802986	0.0	0.0	0.0	2.505227952080457	0.0	0.37899060996802986	1.3924417201440646	0.0	0.0	0.37899060996802986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7A	0.0	0.0	1.3857787673203463	1.2467386184285558	0.844720094077686	4.153790243100028	0.0	0.0	0.0	0.0	0.0	0.0	0.22167241577599492	0.8012610337624005	3.3462381287010223	1.0906752713529677	0.0	4.625114985899516	0.0	2.625215435902498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4768273251977653	2.7028512828514355	0.9538505591866485	0.0	1.1352539142894327	0.0	0.0	0.0	0.0	1.893511270849301	0.0	0.3677248578857984	1.750332312733805	0.0	0.0	0.0	0.0	0.3677248578857984	0.0	0.0	0.0	0.0	0.0	0.0
21A	1.376028584171324	0.0	0.47843875112701306	2.0601303811624416	2.017594876938402	4.463508221804856	0.0	0.0	0.0	0.36910631245602066	0.0	0.0	0.0	0.0	1.3880953768444635	0.6383419314707248	0.0	4.451561059691804	0.7005505210845643	2.222942194284098	0.47843875112701306	0.7005505210845643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0886887991209404	0.0	0.0	2.1147879003152275	0.0	0.0	0.36910631245602066	0.0	2.0367186676360816	0.0	0.5657085012937787	1.7824994114075472	0.0	0.0	0.0	0.8032958889537869	0.0	0.0	0.0	2.6599818152090924	0.0	0.22263972698198117	0.0
1A	0.0	0.0	1.8157064510186185	2.6858504615426924	2.165634925927159	3.9735057184789833	0.0	0.0	0.0	0.0	0.0	0.2957982093655453	1.1942581050318868	0.8938925808424154	4.134700888074941	0.2957982093655453	0.0	4.507486511027865	0.0	2.010763405601161	1.3516635259880054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9895791796004287	0.0	0.0	2.3012784711193555	0.2957982093655453	2.4666294059580367	0.2957982093655453	0.0	3.3891505995780884	0.0	0.4701314396491557	2.4044869633417933	0.0	0.0	0.0	0.8360902962766776	0.0	0.2957982093655453	0.0	2.610674406543437	0.0	1.4949554833283025	0.0
081A	0.0	0.0	0.7650553343344341	1.131509984929531	1.0647537541414651	4.423190928926287	0.0	0.0	0.0	0.0	0.0	0.7650553343344341	0.0	0.6864055775725711	1.5644426684247978	0.8316220901397391	0.0	4.499289471680283	0.0	2.3422420849630154	0.2932199277453731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2932199277453731	0.0	0.0	3.043435461996527	0.0	0.0	0.0	0.2932199277453731	0.2932199277453731	0.6864055775725711	0.0	2.4481849864658427	0.0	0.5902915809116847	1.365116427728245	0.2932199277453731	0.0	0.0	1.0994132621830517	0.0	0.0	0.0	0.0	0.0	0.0	0.0
