Taxon	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	k__Bacteria;p__Firmicutes;c__Clostridia;o__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	k__Bacteria;p__TM7;c__TM7-3;o__	k__Bacteria;p__TM7;c__TM7-3;o__I025	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales
086A	0.0	0.0	5.0	19.0	1.0	23352.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	3.0	51.0	21.0	0.0	30686.0	0.0	206.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	636.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	541.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0
116A	0.0	0.0	6.0	221.0	58.0	36844.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	53.0	4.0	0.0	37510.0	0.0	346.0	684.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1178.0	1.0	0.0	6.0	0.0	1370.0	0.0	6.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
099A	0.0	0.0	11.0	192.0	4.0	21992.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	55.0	1.0	0.0	19287.0	0.0	88.0	11885.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	0.0	3.0	3.0	0.0	2.0	1.0	339.0	0.0	1.0	97.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0
120A	0.0	0.0	3.0	38.0	41.0	30815.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	3.0	0.0	29360.0	0.0	142.0	1028.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	1932.0	0.0	2.0	280.0	0.0	17.0	1.0	0.0	266.0	0.0	4.0	71.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
15A	0.0	0.0	2.0	240.0	29.0	37277.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	125.0	6.0	0.0	40440.0	0.0	124.0	0.0	1.0	0.0	0.0	0.0	198.0	0.0	0.0	0.0	0.0	0.0	1377.0	0.0	0.0	94.0	2.0	0.0	0.0	0.0	813.0	0.0	1.0	498.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0
25A	0.0	0.0	4.0	151.0	5.0	19654.0	0.0	0.0	1.0	0.0	0.0	6.0	1.0	1.0	9.0	4.0	1.0	19772.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2835.0	0.0	0.0	56.0	1.0	0.0	0.0	0.0	229.0	0.0	1.0	17.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7A	0.0	0.0	35.0	25.0	9.0	21394.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	3331.0	17.0	0.0	63334.0	0.0	632.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	756.0	12.0	0.0	19.0	0.0	0.0	0.0	0.0	116.0	0.0	2.0	83.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
21A	34.0	0.0	3.0	170.0	154.0	43412.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	35.0	5.0	0.0	42234.0	6.0	248.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1830.0	0.0	0.0	193.0	0.0	0.0	2.0	0.0	161.0	0.0	4.0	89.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	681.0	0.0	1.0	0.0
1A	0.0	0.0	66.0	496.0	149.0	9638.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0	7.0	13970.0	1.0	0.0	32961.0	0.0	104.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	204.0	1.0	299.0	1.0	0.0	2509.0	0.0	2.0	259.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	417.0	0.0	31.0	0.0
081A	0.0	0.0	5.0	13.0	11.0	27475.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	37.0	6.0	0.0	32737.0	0.0	227.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1145.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	290.0	0.0	3.0	23.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
