sample	numberReads	numberNonHumanReads	proportionReadsMapped	proportionReadsMappedNonHuman
34A	1.00E+07	9997112	0.0053435	0.005339142
24A	1.00E+07	9994631	0.0049005	0.00489913
18A	1.00E+07	9883418	0.0057008	0.005736679
086A	1.00E+07	9970406	0.0063784	0.00637637
118A	1.00E+07	9994005	0.0061909	0.006185308
21A	1.00E+07	9998518	0.005336	0.00533269
082A	1.00E+07	9941106	0.0073818	0.007407626
107A	1.00E+07	9997242	0.0416339	0.041631082
116A	1.00E+07	9986394	0.0067854	0.00678393
109A	1.00E+07	9997410	0.0076473	0.007639779
3A	1.00E+07	9999098	0.0044568	0.004454502
083A	1.00E+07	9995729	0.0060306	0.006027474
108A	1.00E+07	9998185	0.0226919	0.022694519
11A	1.00E+07	9998319	0.0062055	0.006205043
081A	1.00E+07	9915571	0.0056249	0.005649498
35A	1.00E+07	9999015	0.0086126	0.008611648
20A	1.00E+07	9988631	0.0061894	0.006171016
093A	1.00E+07	9993239	0.0074476	0.007448336
13A	1.00E+07	9991708	0.0059993	0.005998574
1A	1.00E+07	9999358	0.005715	0.005709867
37A	1.00E+07	9997224	0.0066044	0.006603833
084A	1.00E+07	9997756	0.0122371	0.012236046
39A	1.00E+07	9993940	0.0052286	0.005227968
25A	1.00E+07	9994369	0.0050037	0.005000916
6A	1.00E+07	9851870	0.0054698	0.005518445
31A	1.00E+07	9998814	0.004677	0.004676155
091A	1.00E+07	9986502	0.0058371	0.005835677
15A	1.00E+07	9991094	0.0064874	0.006485276
099A	1.00E+07	9995648	0.007563	0.00755869
120A	1.00E+07	9985068	0.0062315	0.006229602
100A	1.00E+07	9981874	0.0054429	0.005441563
29A	1.00E+07	9995001	0.0058064	0.005806803
085A	1.00E+07	9942165	0.005877	0.005894994
28A	1.00E+07	9985464	0.0042058	0.004203711
119A	1.00E+07	9994533	0.0176775	0.017678665
7A	1.00E+07	9997286	0.0059621	0.005962318
101A	1.00E+07	9997155	0.00575	0.005703123
098A	1.00E+07	9996395	0.0087333	0.008722845
10A	1.00E+07	9968223	0.0057861	0.005787491
094A	1.00E+07	9996842	0.0058042	0.005744614
