MG-RAST ID	Metagenome Name	bp Count	Sequence Count	Biome	Feature	Material	Location	Country	Coordinates	Sequence Type	Sequence Method
4680735.3	093B_reverse	29781250	119125	 	 	 	 	 	 	Amplicon	454
4680736.3	025B_reverse	20903000	83612	 	 	 	 	 	 	Amplicon	454
4680737.3	086A_forward	25519750	102079	 	 	 	 	 	 	Amplicon	454
4680738.3	031A_forward	17554500	70218	 	 	 	 	 	 	Amplicon	454
4680739.3	021A_reverse	43093500	172374	 	 	 	 	 	 	Amplicon	454
4680740.3	029B_reverse	22159750	88639	 	 	 	 	 	 	Amplicon	454
4680741.3	015A_reverse	40083250	160333	 	 	 	 	 	 	Amplicon	454
4680742.3	093A_forward	18974000	75896	 	 	 	 	 	 	Amplicon	454
4680743.3	015A_forward	40083250	160333	 	 	 	 	 	 	Amplicon	454
4680744.3	035A_reverse	14744250	58977	 	 	 	 	 	 	Amplicon	454
4680745.3	082B_forward	27732250	110929	 	 	 	 	 	 	Amplicon	454
4680746.3	031B_forward	18615000	74460	 	 	 	 	 	 	Amplicon	454
4680747.3	099B_forward	32362250	129449	 	 	 	 	 	 	Amplicon	454
4680748.3	011B_reverse	28151250	112605	 	 	 	 	 	 	Amplicon	454
4680750.3	083A_reverse	18714000	74856	 	 	 	 	 	 	Amplicon	454
4680752.3	118A_forward	20261750	81047	 	 	 	 	 	 	Amplicon	454
4680753.3	085B_forward	23310750	93243	 	 	 	 	 	 	Amplicon	454
4680755.3	006A_forward	30338000	121352	 	 	 	 	 	 	Amplicon	454
4680757.3	108B_reverse	27777000	111108	 	 	 	 	 	 	Amplicon	454
4680759.3	098A_reverse	47756750	191027	 	 	 	 	 	 	Amplicon	454
4680760.3	039B_reverse	23363500	93454	 	 	 	 	 	 	Amplicon	454
4680762.3	091B_reverse	29529000	118116	 	 	 	 	 	 	Amplicon	454
4680764.3	116A_forward	29248000	116992	 	 	 	 	 	 	Amplicon	454
4680766.3	028B_forward	18893000	75572	 	 	 	 	 	 	Amplicon	454
4680768.3	120A_forward	24942750	99771	 	 	 	 	 	 	Amplicon	454
4680769.3	035B_forward	40230750	160923	 	 	 	 	 	 	Amplicon	454
4680770.3	029A_reverse	17213250	68853	 	 	 	 	 	 	Amplicon	454
4680771.3	108B_forward	27777000	111108	 	 	 	 	 	 	Amplicon	454
4680772.3	034A_forward	47580250	190321	 	 	 	 	 	 	Amplicon	454
4680773.3	003A_reverse	44876000	179504	 	 	 	 	 	 	Amplicon	454
4680774.3	082A_forward	26492750	105971	 	 	 	 	 	 	Amplicon	454
4680775.3	101A_reverse	19788750	79155	 	 	 	 	 	 	Amplicon	454
4680776.3	037A_reverse	19004500	76018	 	 	 	 	 	 	Amplicon	454
4680777.3	013B_forward	30095750	120383	 	 	 	 	 	 	Amplicon	454
4680778.3	039B_forward	23363500	93454	 	 	 	 	 	 	Amplicon	454
4680779.3	003B_forward	31381750	125527	 	 	 	 	 	 	Amplicon	454
4680780.3	037B_reverse	20428500	81714	 	 	 	 	 	 	Amplicon	454
4680781.3	007B_reverse	29532250	118129	 	 	 	 	 	 	Amplicon	454
4680782.3	107B_forward	47084000	188336	 	 	 	 	 	 	Amplicon	454
4680783.3	100B_reverse	23462750	93851	 	 	 	 	 	 	Amplicon	454
4680784.3	029B_forward	22159750	88639	 	 	 	 	 	 	Amplicon	454
4680785.3	011A_forward	19860250	79441	 	 	 	 	 	 	Amplicon	454
4680786.3	118B_reverse	28034250	112137	 	 	 	 	 	 	Amplicon	454
