file	numberReads
second_B098A_2.fq.gz	117259
second_B116A_1.fq.gz	88026
first_28A_2.fq.gz	80582
second_B094A_2.fq.gz	98063
first_107A_2.fq.gz	73550
second_B024A_2.fq.gz	116855
first_37A_2.fq.gz	76018
first_107A_1.fq.gz	73550
second_B100A_1.fq.gz	93851
second_B013A_2.fq.gz	120383
first_24A_1.fq.gz	83286
first_37A_1.fq.gz	76018
second_B011A_1.fq.gz	112605
second_B091A_1.fq.gz	118116
second_B108A_2.fq.gz	111108
first_085A_2.fq.gz	131276
second_B007A_2.fq.gz	118129
second_B109A_2.fq.gz	110183
second_B015A_1.fq.gz	127323
first_25A_1.fq.gz	80014
second_B039A_1.fq.gz	93454
first_098A_2.fq.gz	191027
first_15A_2.fq.gz	160333
first_15A_1.fq.gz	160333
first_7A_1.fq.gz	167590
first_120A_2.fq.gz	99771
second_B010A_2.fq.gz	115423
first_108A_1.fq.gz	90593
second_B091A_2.fq.gz	118116
first_084A_1.fq.gz	88574
second_B082A_2.fq.gz	110929
first_11A_2.fq.gz	79441
first_108A_2.fq.gz	90593
first_11A_1.fq.gz	79441
second_B109A_1.fq.gz	110183
first_100A_1.fq.gz	69033
first_21A_2.fq.gz	172374
first_10A_1.fq.gz	78931
first_39A_1.fq.gz	75014
first_116A_2.fq.gz	116992
first_099A_1.fq.gz	72052
second_B001A_2.fq.gz	104744
first_100A_2.fq.gz	69033
first_083A_2.fq.gz	74856
second_B037A_2.fq.gz	81714
second_B013A_1.fq.gz	120383
second_B011A_2.fq.gz	112605
second_B034A_2.fq.gz	117320
second_B003A_2.fq.gz	125527
second_B039A_2.fq.gz	93454
second_B085A_1.fq.gz	93243
second_B081A_2.fq.gz	106765
second_B101A_1.fq.gz	117070
second_B006A_1.fq.gz	112213
second_B021A_2.fq.gz	98066
first_086A_1.fq.gz	102079
first_34A_1.fq.gz	190321
second_B029A_1.fq.gz	88639
first_1A_1.fq.gz	104219
first_39A_2.fq.gz	75014
second_B021A_1.fq.gz	98066
second_B094A_1.fq.gz	98063
second_B024A_1.fq.gz	116855
first_21A_1.fq.gz	172374
first_29A_1.fq.gz	68853
second_B101A_2.fq.gz	117070
first_082A_1.fq.gz	105971
second_B084A_2.fq.gz	126378
first_116A_1.fq.gz	116992
second_B119A_1.fq.gz	121331
second_B006A_2.fq.gz	112213
first_31A_1.fq.gz	70218
second_B018A_2.fq.gz	123112
second_B118A_1.fq.gz	112137
first_098A_1.fq.gz	191027
second_B020A_1.fq.gz	111217
second_B119A_2.fq.gz	121331
second_B037A_1.fq.gz	81714
first_10A_2.fq.gz	78931
first_20A_2.fq.gz	99065
second_B120A_2.fq.gz	114044
second_B025A_2.fq.gz	83612
first_081A_1.fq.gz	99181
first_20A_1.fq.gz	99065
first_101A_2.fq.gz	79155
second_B108A_1.fq.gz	111108
second_B084A_1.fq.gz	126378
second_B107A_2.fq.gz	188336
second_B035A_1.fq.gz	160923
second_B035A_2.fq.gz	160923
second_B120A_1.fq.gz	114044
first_085A_1.fq.gz	131276
first_31A_2.fq.gz	70218
second_B081A_1.fq.gz	106765
second_B034A_1.fq.gz	117320
second_B020A_2.fq.gz	111217
first_101A_1.fq.gz	79155
first_35A_2.fq.gz	58977
second_B099A_1.fq.gz	129449
first_13A_2.fq.gz	71758
second_B031A_2.fq.gz	74460
second_B099A_2.fq.gz	129449
second_B028A_1.fq.gz	75572
first_6A_1.fq.gz	121352
first_25A_2.fq.gz	80014
second_B093A_1.fq.gz	119125
first_6A_2.fq.gz	121352
second_B001A_1.fq.gz	104744
first_3A_2.fq.gz	179504
first_081A_2.fq.gz	99181
first_109A_2.fq.gz	69260
first_099A_2.fq.gz	72052
first_1A_2.fq.gz	104219
first_13A_1.fq.gz	71758
first_094A_1.fq.gz	72538
first_086A_2.fq.gz	102079
first_29A_2.fq.gz	68853
first_18A_2.fq.gz	101014
first_118A_1.fq.gz	81047
second_B098A_1.fq.gz	117259
second_B116A_2.fq.gz	88026
second_B029A_2.fq.gz	88639
second_B031A_1.fq.gz	74460
second_B083A_2.fq.gz	132011
second_B086A_2.fq.gz	175010
second_B007A_1.fq.gz	118129
second_B086A_1.fq.gz	175010
first_084A_2.fq.gz	88574
second_B083A_1.fq.gz	132011
second_B018A_1.fq.gz	123112
first_082A_2.fq.gz	105971
second_B100A_2.fq.gz	93851
first_109A_1.fq.gz	69260
second_B010A_1.fq.gz	115423
first_119A_2.fq.gz	109618
first_3A_1.fq.gz	179504
second_B015A_2.fq.gz	127323
first_34A_2.fq.gz	190321
first_118A_2.fq.gz	81047
first_120A_1.fq.gz	99771
second_B003A_1.fq.gz	125527
first_119A_1.fq.gz	109618
second_B025A_1.fq.gz	83612
first_091A_2.fq.gz	79930
second_B082A_1.fq.gz	110929
first_18A_1.fq.gz	101014
first_093A_1.fq.gz	75896
first_083A_1.fq.gz	74856
second_B107A_1.fq.gz	188336
second_B118A_2.fq.gz	112137
second_B093A_2.fq.gz	119125
first_7A_2.fq.gz	167590
second_B085A_2.fq.gz	93243
first_24A_2.fq.gz	83286
first_094A_2.fq.gz	72538
first_093A_2.fq.gz	75896
second_B028A_2.fq.gz	75572
first_35A_1.fq.gz	58977
first_28A_1.fq.gz	80582
first_091A_1.fq.gz	79930
