ID	NAME	kegg_merge_filter_human_081A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_082A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_083A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_084A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_085A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_086A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_091A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_093A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_094A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_098A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_099A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_100A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_101A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_107A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_108A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_109A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_10A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_116A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_118A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_119A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_11A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_120A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_13A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_15A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_18A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_1A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_20A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_21A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_24A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_25A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_28A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_29A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_31A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_34A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_35A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_37A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_39A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_3A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_6A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_7A-hit-keg-mpm-cop-nul-nve-nve
RANDSID	RANDSID	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
START	START	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
GENDER	GENDER	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VISNO	VISNO	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
STSite	STSite	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Parent_Specimen	Parent_Specimen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Run ID	Run ID	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lane	Lane	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SRS	SRS	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Mean Quality	Mean Quality	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Number of Quality Bases	Number of Quality Bases	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Percent of Human Reads	Percent of Human Reads	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Unique Non-Human Bases	Unique Non-Human Bases	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
InverseSimpson	InverseSimpson	49.5011	51.9695	52.7284	56.5859	48.9133	53.1966	50.8822	51.5403	50.9074	50.6897	53.5246	50.067	53.1348	69.3378	63.5268	55.7113	49.9574	53.8703	51.2905	65.4184	48.2031	51.0364	49.7915	51.7668	52.1953	51.8367	52.129	49.957	51.8134	51.9877	46.7934	50.7631	47.0947	51.0453	53.7523	53.8131	51.3844	46.1471	51.6661	49.0913
Shannon	Shannon	4.17138	4.20577	4.20968	4.27497	4.14663	4.22119	4.17519	4.18199	4.16291	4.17779	4.21929	4.17665	4.2093	4.3988	4.33648	4.2633	4.18127	4.22731	4.18561	4.37549	4.15227	4.1852	4.15494	4.20359	4.20491	4.21767	4.19591	4.18925	4.21021	4.19871	4.12319	4.21026	4.11866	4.18663	4.24466	4.263	4.18985	4.10871	4.19266	4.14562
Pielou	Pielou	0.775364	0.781756	0.782483	0.794619	0.770764	0.784622	0.776072	0.777336	0.773789	0.776555	0.78427	0.776344	0.782412	0.817637	0.806053	0.79245	0.777203	0.78576	0.778009	0.813304	0.771811	0.777933	0.772308	0.781351	0.781597	0.783969	0.779924	0.778686	0.782583	0.780444	0.766407	0.78259	0.765565	0.778199	0.788985	0.792395	0.778797	0.763715	0.77932	0.770575
Richness	Richness	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00276	M00276: PTS system, mannose-specific II component	0.00247856	0.00384502	0.00426913	0.0052394	0.00226571	0.00329106	0.00233097	0.00428235	0.00511294	0.0029561	0.00434358	0.00235136	0.00290273	0.00564466	0.00470358	0.00477608	0.00705987	0.00335834	0.00466802	0.00628349	0.00482262	0.00466393	0.00467757	0.00384877	0.00222229	0.00664977	0.00347713	0.00317705	0.00445221	0.00317224	0.00237772	0.00299064	0.0018373	0.00342773	0.00310619	0.00498398	0.00517742	0.00437044	0.00379152	0.00665467
M00277	M00277: PTS system, N-acetylgalactosamine-specific II component	0.00116889	0.00219181	0.00141061	0.00243481	0.00077289	0.00119506	0.00105611	0.00257361	0.00212493	0.00163691	0.00254082	0.000997416	0.00131292	0.00577968	0.00506456	0.00140412	0.00139588	0.00178295	0.00109933	0.00457905	0.00176806	0.00240431	0.00258821	0.00134233	0.00102511	0.00234092	0.00145327	0.00148613	0.0015836	0.00193421	0.00110432	0.000970735	0.000965968	0.00211349	0.00163945	0.00111411	0.00291077	0.0012988	0.00157792	0.00316555
M00377	M00377: Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
