ID	NAME	kegg_merge_filter_human_081A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_082A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_083A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_084A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_085A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_086A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_091A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_093A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_094A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_098A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_099A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_100A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_101A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_107A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_108A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_109A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_10A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_116A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_118A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_119A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_11A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_120A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_13A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_15A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_18A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_1A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_20A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_21A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_24A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_25A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_28A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_29A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_31A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_34A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_35A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_37A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_39A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_3A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_6A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_7A-hit-keg-mpt-cop-nul-nve-nve
RANDSID	RANDSID	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
START	START	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
GENDER	GENDER	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VISNO	VISNO	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
STSite	STSite	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Parent_Specimen	Parent_Specimen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Run ID	Run ID	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lane	Lane	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SRS	SRS	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Mean Quality	Mean Quality	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Number of Quality Bases	Number of Quality Bases	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Percent of Human Reads	Percent of Human Reads	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Unique Non-Human Bases	Unique Non-Human Bases	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
InverseSimpson	InverseSimpson	77.9451	79.5693	80.0104	81.0977	76.8917	80.8446	79.1687	80.2375	78.8483	78.5753	80.6273	77.5903	81.3644	87.7609	85.5308	80.8383	77.7196	81.0338	79.4495	85.369	76.8518	78.7072	79.155	77.5756	79.1697	76.8537	78.8901	78.4538	78.8242	79.7127	75.976	76.8627	76.1453	78.1214	78.418	77.5711	79.0484	75.6724	78.8323	77.7802
Shannon	Shannon	4.55598	4.57222	4.57613	4.58609	4.54591	4.57833	4.56511	4.57292	4.55602	4.56198	4.57716	4.55518	4.58916	4.62852	4.6141	4.58316	4.5544	4.58602	4.56633	4.61836	4.54841	4.5624	4.56954	4.55446	4.57081	4.55069	4.56616	4.56506	4.56952	4.5681	4.54676	4.55601	4.53972	4.55707	4.56576	4.56096	4.5625	4.53372	4.5613	4.55456
Pielou	Pielou	0.808034	0.810914	0.811607	0.813374	0.806248	0.811998	0.809653	0.811037	0.808041	0.809098	0.811791	0.807892	0.813919	0.8209	0.818342	0.812854	0.807754	0.813361	0.809869	0.819097	0.806692	0.809173	0.810439	0.807765	0.810663	0.807095	0.80984	0.809643	0.810434	0.810183	0.806399	0.808039	0.805149	0.808227	0.809768	0.808916	0.809191	0.804085	0.808978	0.807781
Richness	Richness	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko05340	ko05340: Primary immunodeficiency	2.48481e-05	2.09119e-05	2.18918e-05	4.88168e-05	5.96819e-05	3.05969e-05	2.0883e-05	3.34325e-05	3.15646e-05	2.61271e-05	2.70471e-05	3.02398e-05	3.33525e-05	1.55784e-05	1.608e-05	1.95573e-05	2.60374e-05	2.93454e-05	4.94577e-05	2.38814e-05	3.06175e-05	2.10342e-05	3.15608e-05	2.34025e-05	2.92409e-05	2.57966e-05	3.29324e-05	2.77738e-05	3.58351e-05	3.43096e-05	3.78717e-05	3.05898e-05	4.34354e-05	1.94347e-05	3.73856e-05	2.37515e-05	3.09974e-05	3.01903e-05	3.11053e-05	3.05265e-05
ko00564	ko00564: Glycerophospholipid metabolism	0.00630647	0.00564131	0.00587725	0.00691074	0.00648469	0.00619313	0.00600055	0.00565905	0.00585915	0.00593495	0.00615003	0.00602991	0.00571797	0.00718695	0.0070357	0.00588071	0.00650286	0.00589709	0.00661274	0.0070658	0.00637827	0.00584677	0.00602972	0.00615795	0.0060184	0.00653789	0.00593121	0.00625705	0.0060826	0.00591319	0.0062265	0.00614312	0.00642617	0.00577131	0.00599805	0.00637979	0.00616246	0.00651473	0.00589758	0.00625508
