taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Thermoprotei	d__Archaea|p__Crenarchaeota|c__Thermoprotei	2	1	0	0	1	2	1	0	0	1	0	0	0	2	1	0	3	0	0	0	1	0	0	7	0	2	2	10	11	3	3	4	1	0	10	0	0	0	2	0
Archaeoglobi	d__Archaea|p__Euryarchaeota|c__Archaeoglobi	5	4	0	0	1	1	0	0	1	1	0	0	0	12	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1
Halobacteria	d__Archaea|p__Euryarchaeota|c__Halobacteria	12	1	3	7	3	0	7	4	4	12	4	24	14	17	9	16	9	13	7	55	7	21	1	5	10	45	5	4	21	6	19	8	104	14	6	17	6	18	1	7
Methanobacteria	d__Archaea|p__Euryarchaeota|c__Methanobacteria	6	3	0	10	0	3	5	7	0	2	19	1	1	0	2	2	3	0	0	2	48	1	1	4	24	2	0	1248	6	3	1	4	558	11	1065	5135	74	1	1	10
Methanococci	d__Archaea|p__Euryarchaeota|c__Methanococci	17	2	4	2	0	2	11	9	1	3	188	10	2	1	0	4	3	17	0	1	3	16	19	6	9	1	2	8	6	3	1	1	0	3	2	0	3	1	1	1
Methanomicrobia	d__Archaea|p__Euryarchaeota|c__Methanomicrobia	33	10	47	39	13	5	120	54	37	30	7	31	74	16	22	30	24	91	92	33	60	15	19	44	48	26	55	33	85	11	51	56	9	31	11	42	12	9	24	7
Methanopyri	d__Archaea|p__Euryarchaeota|c__Methanopyri	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	5	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	10	0	0	0
Thermococci	d__Archaea|p__Euryarchaeota|c__Thermococci	2	0	0	1	1	1	4	2	1	1	3	2	2	0	7	2	1	12	0	0	0	1	1	1	1	0	0	0	2	0	2	1	2	0	0	1	0	0	1	0
Thermoplasmata	d__Archaea|p__Euryarchaeota|c__Thermoplasmata	1	0	0	0	0	0	0	0	0	2	0	1	1	0	3	0	2	1	1	0	0	1	0	0	3	1	0	1	5	0	4	2	0	3	0	1	0	0	0	0
Acidobacteriia	d__Bacteria|p__Acidobacteria|c__Acidobacteriia	50	30	13	17	15	2	20	21	12	35	6	49	15	29	13	30	49	9	10	28	67	63	17	50	44	43	28	31	65	12	46	39	16	55	57	42	13	47	25	40
Solibacteres	d__Bacteria|p__Acidobacteria|c__Solibacteres	10	9	0	1	1	0	6	20	11	6	3	6	3	0	11	4	12	0	0	2	4	3	1	2	2	9	3	52	6	3	3	1	7	13	8	1	1	11	8	9
Actinobacteria	d__Bacteria|p__Actinobacteria|c__Actinobacteria	10740	22951	9682	16812	16915	9737	11289	2512	6356	8711	16234	18342	38460	7812	7714	19128	72115	17030	16266	32365	8820	11615	22724	18411	9757	38174	94779	8691	8803	33046	4543	3582	5032	150253	5553	6117	12212	16010	30662	27839
