taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Caldisphaeraceae	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Desulfurococcaceae	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	1	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	0
Fervidicoccaceae	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales|f__Fervidicoccaceae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	0	0	0	0	0	0
Sulfolobaceae	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	8	1	0	0	0	0	0	0	0	0	0	0
Thermoproteaceae	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	1	2	0	2	1	3	0	0	0	10	0	0	0	1	0
Archaeoglobaceae	d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae	5	4	0	0	1	1	0	0	1	1	0	0	0	12	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1
Halobacteriaceae	d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	12	1	3	7	3	0	7	4	4	12	4	24	14	17	9	16	9	13	7	55	7	21	1	5	10	45	5	4	21	6	19	8	104	14	6	17	6	18	1	7
Methanobacteriaceae	d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	6	3	0	10	0	3	5	7	0	2	19	1	1	0	2	2	3	0	0	2	48	1	1	4	24	2	0	1248	6	3	1	4	558	11	1065	5134	74	1	1	10
Methanothermaceae	d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Methanocaldococcaceae	d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
Methanococcaceae	d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae	17	2	3	1	0	2	11	7	1	3	188	10	2	1	0	4	3	17	0	1	2	12	19	6	8	1	2	6	6	3	0	1	0	3	2	0	3	1	1	1
