taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Caldisphaera	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Aeropyrum	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Desulfurococcus	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0
Staphylothermus	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Thermogladius	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermogladius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fervidicoccus	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales|f__Fervidicoccaceae|g__Fervidicoccus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	0	0	0	0	0	0
Metallosphaera	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Sulfolobus	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1	0	0	0	0	0	0	0	0	0	0
Pyrobaculum	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	1	2	0	2	1	3	0	0	0	10	0	0	0	1	0
Archaeoglobus	d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus	5	4	0	0	1	1	0	0	1	1	0	0	0	12	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1
