taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Acidilobales	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Desulfurococcales	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	1	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	0
Fervidicoccales	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	0	0	0	0	0	0
Sulfolobales	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	8	1	0	0	0	0	0	0	0	0	0	0
Thermoproteales	d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	1	2	0	2	1	3	0	0	0	10	0	0	0	1	0
Archaeoglobales	d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	5	4	0	0	1	1	0	0	1	1	0	0	0	12	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1
Halobacteriales	d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	12	1	3	7	3	0	7	4	4	12	4	24	14	17	9	16	9	13	7	55	7	21	1	5	10	45	5	4	21	6	19	8	104	14	6	17	6	18	1	7
Methanobacteriales	d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	6	3	0	10	0	3	5	7	0	2	19	1	1	0	2	2	3	0	0	2	48	1	1	4	24	2	0	1248	6	3	1	4	558	11	1065	5135	74	1	1	10
Methanococcales	d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	17	2	4	2	0	2	11	9	1	3	188	10	2	1	0	4	3	17	0	1	3	16	19	6	9	1	2	8	6	3	1	1	0	3	2	0	3	1	1	1
Methanocellales	d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales	5	1	8	10	1	1	1	2	1	3	0	0	7	3	1	2	9	2	7	7	3	3	2	4	0	3	1	7	12	3	0	0	0	9	1	2	0	0	1	0
Methanomicrobiales	d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	14	9	32	12	10	0	106	40	16	20	1	29	59	12	18	25	8	86	82	24	54	9	15	33	29	19	38	22	70	4	20	11	5	6	3	25	8	4	21	4
Methanosarcinales	d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	14	0	7	17	2	4	13	12	20	7	6	2	8	1	3	3	7	3	3	2	3	3	2	7	19	4	16	4	3	4	31	45	4	16	7	15	4	4	2	3
Methanopyrales	d__Archaea|p__Euryarchaeota|c__Methanopyri|o__Methanopyrales	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	5	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	10	0	0	0
Thermococcales	d__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales	2	0	0	1	1	1	4	2	1	1	3	2	2	0	7	2	1	12	0	0	0	1	1	1	1	0	0	0	2	0	2	1	2	0	0	1	0	0	1	0
Thermoplasmatales	d__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	2	1	0	0	0	1	0	0	2	1	0	0	0	0	4	2	0	0	0	1	0	0	0	0
Nitrosopumilales	d__Archaea|p__Thaumarchaeota|o__Nitrosopumilales	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	1	0
Acidobacteriales	d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	50	30	13	17	15	2	20	21	12	35	6	49	15	29	13	30	49	9	10	28	67	63	17	50	44	43	28	31	65	12	46	39	16	55	57	42	13	47	25	40
Solibacterales	d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales	10	9	0	1	1	0	6	20	11	6	3	6	3	0	11	4	12	0	0	2	4	3	1	2	2	9	3	52	6	3	3	1	7	13	8	1	1	11	8	9
