taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Crenarchaeota	d__Archaea|p__Crenarchaeota	2	1	0	0	1	2	1	0	0	1	0	0	0	2	1	0	3	0	0	0	1	0	0	7	0	2	2	10	11	3	3	4	1	0	10	0	0	0	2	0
Euryarchaeota	d__Archaea|p__Euryarchaeota	88	20	57	60	18	12	147	76	44	59	222	70	105	47	50	71	52	138	101	94	125	65	47	62	100	80	63	1298	135	25	79	82	675	64	1085	5196	109	31	32	27
Thaumarchaeota	d__Archaea|p__Thaumarchaeota	1	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	1	0
Acidobacteria	d__Bacteria|p__Acidobacteria	65	39	17	30	17	4	31	43	23	52	9	73	20	29	31	46	66	9	11	30	74	78	21	58	57	65	35	91	75	18	52	47	28	76	68	45	17	61	38	65
Actinobacteria	d__Bacteria|p__Actinobacteria	10740	22951	9682	16812	16915	9737	11289	2512	6356	8711	16234	18342	38460	7812	7714	19128	72115	17030	16266	32365	8820	11615	22724	18411	9757	38174	94779	8691	8803	33046	4543	3582	5032	150253	5553	6117	12212	16010	30662	27839
Aquificae	d__Bacteria|p__Aquificae	37	59	4	37	12	19	29	2	11	54	68	43	12	32	33	61	51	5	2	36	27	67	8	103	20	14	21	29	18	18	8	36	50	23	27	6	75	9	75	32
Armatimonadetes	d__Bacteria|p__Armatimonadetes	2	1	0	0	0	2	0	1	0	4	2	0	0	0	2	1	1	0	0	0	2	1	0	1	0	3	0	0	1	0	0	0	0	5	0	2	0	3	0	0
Bacteroidetes	d__Bacteria|p__Bacteroidetes	825922	1830561	3436569	839090	807770	2175265	1770952	3230445	3381702	1028059	4285407	886235	1852878	1464490	529395	1253884	671778	2550478	1694720	1148264	701671	1365599	1895978	1023266	1233794	206053	1007729	1046175	1001710	2706077	228223	224025	674790	1309397	380169	187433	1794192	357135	1989376	959628
Caldiserica	d__Bacteria|p__Caldiserica	1	1	0	2	1	4	1	1	0	6	66	9	2	0	0	6	1	5	2	1	0	6	1	0	3	1	3	8	0	2	0	0	6	2	1	0	0	2	0	4
Candidatus_Saccharibacteria	d__Bacteria|p__Candidatus_Saccharibacteria	9	8	4	12	7	6	33	6	3	28	24	25	6	11	14	13	10	2	2	15	11	23	4	13	4	11	3	9	25	2	7	10	14	10	1	5	12	2	5	40
Chlamydiae	d__Bacteria|p__Chlamydiae	15	4	11	9	0	14	3	3	3	43	3	4	6	0	27	3	4	3	1	0	15	3	2	8	6	3	15	16	30	5	0	10	4	3	5	0	10	10	34	17
Chlorobi	d__Bacteria|p__Chlorobi	102	41	41	61	12	19	84	46	23	125	23	106	83	76	84	116	63	134	105	126	58	106	25	114	130	69	56	68	106	65	25	65	48	72	17	66	29	43	65	53
Chloroflexi	d__Bacteria|p__Chloroflexi	20	29	18	28	146	10	70	4	6	43	186	104	29	12	50	43	77	43	25	42	60	30	73	29	59	86	23	19	53	24	66	46	117	35	37	46	12	160	39	58
Chrysiogenetes	d__Bacteria|p__Chrysiogenetes	19	0	14	9	7	3	14	3	0	14	5	16	6	9	10	12	31	5	5	14	19	57	3	11	5	10	11	7	19	8	0	11	12	33	2	12	7	8	14	38
Cloacimonetes	d__Bacteria|p__Cloacimonetes	0	1	0	7	0	0	0	0	1	1	0	2	1	0	1	0	3	0	1	0	0	0	0	0	0	0	1	1	6	0	1	2	2	0	0	1	4	2	0	0
Cyanobacteria	d__Bacteria|p__Cyanobacteria	163	81	97	134	164	59	168	176	108	235	63	265	172	89	262	212	206	90	104	151	92	147	95	265	149	173	113	180	395	111	188	108	184	150	162	155	51	149	127	96
