OTU	16Sgene	genome	numberGenes	totalGeneLength
Consensus1	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus10	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus100	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus101	ref|NC_021016|:44196-45716|16S	butyrate_producing_bacterium_SSC_2_uid197181	55	8707
Consensus102	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus103	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus104	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus105	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus106	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus107	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus108	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus109	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus11	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus110	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus111	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus112	ref|NC_007606|:3722468-3724009|16S	Shigella_dysenteriae_Sd197_uid58213	107	38718
Consensus113	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus114	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus115	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus116	ref|NC_014393|:4550979-4552481|16S	Clostridium_cellulovorans_743B_uid51503	112	48018
Consensus117	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus118	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus119	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus12	ref|NC_019968|:947634-949058|16S	Prevotella_dentalis_DSM_3688_uid184818	86	27865
Consensus120	ref|NC_015977|:3095887-3097421|16S	Roseburia_hominis_A2_183_uid73419	70	22540
Consensus121	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus122	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus123	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus124	ref|NC_015968|:4749056-4750583|16S	Enterobacter_asburiae_LF7a_uid72793	109	39472
Consensus125	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus126	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus127	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus128	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus129	ref|NC_018695|:3844718-3846238|16S	Burkholderia_phenoliruptrix_BR3459a_uid176370	80	31914
Consensus13	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus130	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus131	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus132	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus133	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus134	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus135	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus136	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus137	ref|NC_021018|:3070260-3072809|16S	Coprococcus_ART55_1_uid197176	34	8292
Consensus138	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus139	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus14	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus140	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus141	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus142	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus143	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus144	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus145	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus146	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus147	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus148	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus149	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus15	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
