consensusID	target	meanRural	meanUrban	stoolPrevelance	maxFraction	pValue	percentIdentity	alignmentLength	targetName	higherInRural	rdpSummary
Consensus456	otu_256_V3V5	0.864495705187562	0.292775301471058	0.80465114	0.80465114	1.85448972640501E-5	99.2	250	otu_256_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(58);Coprococcus(52)
Consensus146	otu_608_V3V5	1.63335830757268	0.7846033317733361	0.40930232	0.40930232	1.29851405207271E-4	96.0	250	otu_608_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(92);Coprococcus(9)
Consensus216	otu_507_V3V5	0.86780599620163	1.35480525508027	0.7767442	0.7767442	6.24278987828353E-4	93.2	250	otu_507_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus224	otu_888_V3V5	0.7774127696669395	1.33049135153369	0.41860464	0.41860464	2.04257021507726E-4	99.6	250	otu_888_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus243	otu_167_V3V5	0.5474141146565406	1.114583837783595	0.34418604	0.40298507	6.85887668309904E-4	95.6	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus314	otu_167_V3V5	0.494130851385173	1.012620746841668	0.34418604	0.40298507	0.00101030849533101	94.8	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus387	otu_1092_V3V5	0.701068167577173	0.04917633146994965	0.09767442	0.09767442	2.37669228174919E-4	94.42	251	otu_1092_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus389	otu_555_V3V5	0.4985304771244825	0.972841317060807	0.7255814	0.7255814	0.00101692996104497	98.8	250	otu_555_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus395	otu_430_V3V5	0.834146498297966	0.208912555101433	0.5069767	0.5069767	6.03886409485277E-4	100.0	250	otu_430_V3V5	true	Root(100);Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteridae(100);Coriobacteriales(100);Coriobacterineae(100);Coriobacteriaceae(100);Collinsella(100)
Consensus400	otu_12_V3V5	0.4148660671810745	0.9354778472935315	0.95813954	0.95813954	5.61947658669348E-4	98.4	250	otu_12_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus421	otu_546_V3V5	0.248539559885318	0.775197593343543	0.32093024	0.32093024	4.24014619162083E-4	96.4	250	otu_546_V3V5	false	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(91);Coprococcus(87)
Consensus43	otu_294_V3V5	1.38112727642154	2.08458976184685	0.81860465	0.81860465	6.07718468691676E-4	98.4	250	otu_294_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus598	otu_46_V3V5	0.5589662781509185	0.0375433385397929	0.19069767	0.20930232	9.14197132850569E-4	96.8	250	otu_46_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100)
Consensus612	otu_438_V3V5	0.2271592282995365	0.6091504560338565	0.7953488	0.7953488	0.00105243364873564	98.0	250	otu_438_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
